"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10p","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C2","1","100n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J1,J2,J3","3","Screw_Terminal_01x02","","","","Connector_Samtec_HPM_THT:Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm","~"
"JP1","1","Jumper_3_Bridged12","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1","1","300k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2,R5","2","800","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","25k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1,RV2","2","R_Potentiometer","","","","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"TP1,TP2,TP3","3","TestPoint","","","","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"U1","1","LM393","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U2","1","TL072","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf"
