r_l	V(vo)	I(RL1)
1.000000000000000e-03	4.024288e-04	4.024288e-01
1.004615790278395e-03	4.042867e-04	4.024292e-01
1.009252886076684e-03	4.061532e-04	4.024296e-01
1.013911385736680e-03	4.080284e-04	4.024300e-01
1.018591388054117e-03	4.099122e-04	4.024304e-01
1.023292992280755e-03	4.118047e-04	4.024309e-01
1.028016298126474e-03	4.137059e-04	4.024313e-01
1.032761405761398e-03	4.156159e-04	4.024317e-01
1.037528415818013e-03	4.175348e-04	4.024321e-01
1.042317429393305e-03	4.194624e-04	4.024325e-01
1.047128548050900e-03	4.213990e-04	4.024330e-01
1.051961873823224e-03	4.233446e-04	4.024334e-01
1.056817509213659e-03	4.252991e-04	4.024338e-01
1.061695557198725e-03	4.272627e-04	4.024343e-01
1.066596121230259e-03	4.292353e-04	4.024347e-01
1.071519305237607e-03	4.312170e-04	4.024351e-01
1.076465213629836e-03	4.332079e-04	4.024356e-01
1.081433951297939e-03	4.352080e-04	4.024360e-01
1.086425623617067e-03	4.372173e-04	4.024364e-01
1.091440336448758e-03	4.392359e-04	4.024369e-01
1.096478196143186e-03	4.412638e-04	4.024373e-01
1.101539309541416e-03	4.433010e-04	4.024378e-01
1.106623783977668e-03	4.453477e-04	4.024383e-01
1.111731727281593e-03	4.474039e-04	4.024387e-01
1.116863247780563e-03	4.494695e-04	4.024391e-01
1.122018454301965e-03	4.515446e-04	4.024396e-01
1.127197456175512e-03	4.536294e-04	4.024401e-01
1.132400363235559e-03	4.557238e-04	4.024405e-01
1.137627285823433e-03	4.578278e-04	4.024410e-01
1.142878334789774e-03	4.599416e-04	4.024414e-01
1.148153621496885e-03	4.620652e-04	4.024419e-01
1.153453257821095e-03	4.641985e-04	4.024424e-01
1.158777356155128e-03	4.663417e-04	4.024429e-01
1.164126029410494e-03	4.684948e-04	4.024433e-01
1.169499391019873e-03	4.706578e-04	4.024438e-01
1.174897554939532e-03	4.728308e-04	4.024443e-01
1.180320635651732e-03	4.750139e-04	4.024448e-01
1.185768748167163e-03	4.772070e-04	4.024453e-01
1.191242008027377e-03	4.794103e-04	4.024457e-01
1.196740531307246e-03	4.816237e-04	4.024462e-01
1.202264434617416e-03	4.838474e-04	4.024467e-01
1.207813835106783e-03	4.860813e-04	4.024472e-01
1.213388850464980e-03	4.883255e-04	4.024477e-01
1.218989598924870e-03	4.905802e-04	4.024482e-01
1.224616199265052e-03	4.928452e-04	4.024487e-01
1.230268770812385e-03	4.951207e-04	4.024492e-01
1.235947433444514e-03	4.974067e-04	4.024497e-01
1.241652307592415e-03	4.997032e-04	4.024502e-01
1.247383514242947e-03	5.020104e-04	4.024507e-01
1.253141174941420e-03	5.043282e-04	4.024512e-01
1.258925411794171e-03	5.066567e-04	4.024518e-01
1.264736347471155e-03	5.089960e-04	4.024523e-01
1.270574105208546e-03	5.113461e-04	4.024528e-01
1.276438808811348e-03	5.137070e-04	4.024533e-01
1.282330582656026e-03	5.160788e-04	4.024538e-01
1.288249551693138e-03	5.184616e-04	4.024543e-01
1.294195841449991e-03	5.208554e-04	4.024549e-01
1.300169578033295e-03	5.232603e-04	4.024554e-01
1.306170888131846e-03	5.256762e-04	4.024559e-01
1.312199899019208e-03	5.281033e-04	4.024565e-01
1.318256738556412e-03	5.305416e-04	4.024570e-01
1.324341535194670e-03	5.329913e-04	4.024575e-01
1.330454417978096e-03	5.354522e-04	4.024581e-01
1.336595516546447e-03	5.379244e-04	4.024586e-01
1.342764961137869e-03	5.404081e-04	4.024592e-01
1.348962882591659e-03	5.429032e-04	4.024597e-01
1.355189412351041e-03	5.454099e-04	4.024603e-01
1.361444682465956e-03	5.479282e-04	4.024608e-01
1.367728825595855e-03	5.504580e-04	4.024614e-01
1.374041975012521e-03	5.529996e-04	4.024619e-01
1.380384264602891e-03	5.555529e-04	4.024625e-01
1.386755828871895e-03	5.581180e-04	4.024631e-01
1.393156802945309e-03	5.606950e-04	4.024636e-01
1.399587322572624e-03	5.632838e-04	4.024642e-01
1.406047524129920e-03	5.658846e-04	4.024648e-01
1.412537544622761e-03	5.684974e-04	4.024653e-01
1.419057521689099e-03	5.711223e-04	4.024659e-01
1.425607593602195e-03	5.737593e-04	4.024665e-01
1.432187899273551e-03	5.764085e-04	4.024671e-01
1.438798578255852e-03	5.790700e-04	4.024677e-01
1.445439770745934e-03	5.817437e-04	4.024683e-01
1.452111617587750e-03	5.844297e-04	4.024689e-01
1.458814260275356e-03	5.871282e-04	4.024695e-01
1.465547840955919e-03	5.898391e-04	4.024701e-01
1.472312502432726e-03	5.925626e-04	4.024706e-01
1.479108388168215e-03	5.952986e-04	4.024712e-01
1.485935642287015e-03	5.980473e-04	4.024719e-01
1.492794409579004e-03	6.008086e-04	4.024725e-01
1.499684835502382e-03	6.035828e-04	4.024731e-01
1.506607066186750e-03	6.063697e-04	4.024737e-01
1.513561248436217e-03	6.091695e-04	4.024743e-01
1.520547529732504e-03	6.119823e-04	4.024749e-01
1.527566058238081e-03	6.148080e-04	4.024756e-01
1.534616982799303e-03	6.176468e-04	4.024762e-01
1.541700452949568e-03	6.204987e-04	4.024768e-01
1.548816618912490e-03	6.233638e-04	4.024774e-01
1.555965631605084e-03	6.262420e-04	4.024781e-01
1.563147642640963e-03	6.291337e-04	4.024787e-01
1.570362804333562e-03	6.320386e-04	4.024794e-01
1.577611269699358e-03	6.349570e-04	4.024800e-01
1.584893192461123e-03	6.378888e-04	4.024806e-01
1.592208727051180e-03	6.408342e-04	4.024813e-01
1.599558028614679e-03	6.437932e-04	4.024819e-01
1.606941253012888e-03	6.467659e-04	4.024826e-01
1.614358556826497e-03	6.497523e-04	4.024833e-01
1.621810097358941e-03	6.527525e-04	4.024839e-01
1.629296032639733e-03	6.557665e-04	4.024846e-01
1.636816521427819e-03	6.587945e-04	4.024853e-01
1.644371723214943e-03	6.618365e-04	4.024859e-01
1.651961798229026e-03	6.648924e-04	4.024866e-01
1.659586907437572e-03	6.679626e-04	4.024872e-01
1.667247212551074e-03	6.710469e-04	4.024879e-01
1.674942876026449e-03	6.741455e-04	4.024886e-01
1.682674061070479e-03	6.772583e-04	4.024893e-01
1.690440931643276e-03	6.803856e-04	4.024900e-01
1.698243652461756e-03	6.835273e-04	4.024907e-01
1.706082389003136e-03	6.866835e-04	4.024914e-01
1.713957307508438e-03	6.898543e-04	4.024921e-01
1.721868574986019e-03	6.930397e-04	4.024928e-01
1.729816359215114e-03	6.962398e-04	4.024935e-01
1.737800828749388e-03	6.994547e-04	4.024942e-01
1.745822152920517e-03	7.026845e-04	4.024949e-01
1.753880501841774e-03	7.059292e-04	4.024956e-01
1.761976046411642e-03	7.091889e-04	4.024963e-01
1.770108958317435e-03	7.124636e-04	4.024971e-01
1.778279410038937e-03	7.157535e-04	4.024978e-01
1.786487574852065e-03	7.190586e-04	4.024985e-01
1.794733626832540e-03	7.223789e-04	4.024992e-01
1.803017740859583e-03	7.257146e-04	4.025000e-01
1.811340092619617e-03	7.290657e-04	4.025007e-01
1.819700858609998e-03	7.324322e-04	4.025015e-01
1.828100216142758e-03	7.358143e-04	4.025022e-01
1.836538343348361e-03	7.392121e-04	4.025030e-01
1.845015419179489e-03	7.426255e-04	4.025037e-01
1.853531623414827e-03	7.460547e-04	4.025044e-01
1.862087136662883e-03	7.494998e-04	4.025052e-01
1.870682140365816e-03	7.529607e-04	4.025060e-01
1.879316816803284e-03	7.564377e-04	4.025067e-01
1.887991349096310e-03	7.599307e-04	4.025075e-01
1.896705921211163e-03	7.634399e-04	4.025083e-01
1.905460717963264e-03	7.669652e-04	4.025091e-01
1.914255925021102e-03	7.705069e-04	4.025098e-01
1.923091728910175e-03	7.740649e-04	4.025106e-01
1.931968317016941e-03	7.776393e-04	4.025114e-01
1.940885877592795e-03	7.812302e-04	4.025122e-01
1.949844599758063e-03	7.848378e-04	4.025130e-01
1.958844673506007e-03	7.884620e-04	4.025138e-01
1.967886289706863e-03	7.921029e-04	4.025146e-01
1.976969640111879e-03	7.957607e-04	4.025154e-01
1.986094917357390e-03	7.994354e-04	4.025162e-01
1.995262314968898e-03	8.031271e-04	4.025170e-01
2.004472027365180e-03	8.068358e-04	4.025178e-01
2.013724249862407e-03	8.105616e-04	4.025187e-01
2.023019178678291e-03	8.143046e-04	4.025195e-01
2.032357010936241e-03	8.180650e-04	4.025203e-01
2.041737944669549e-03	8.218427e-04	4.025211e-01
2.051162178825585e-03	8.256378e-04	4.025220e-01
2.060629913270020e-03	8.294506e-04	4.025228e-01
2.070141348791062e-03	8.332809e-04	4.025237e-01
2.079696687103716e-03	8.371289e-04	4.025245e-01
2.089296130854060e-03	8.409947e-04	4.025254e-01
2.098939883623545e-03	8.448783e-04	4.025262e-01
2.108628149933311e-03	8.487799e-04	4.025271e-01
2.118361135248523e-03	8.526995e-04	4.025279e-01
2.128139045982733e-03	8.566373e-04	4.025288e-01
2.137962089502254e-03	8.605932e-04	4.025297e-01
2.147830474130555e-03	8.645674e-04	4.025306e-01
2.157744409152689e-03	8.685599e-04	4.025314e-01
2.167704104819717e-03	8.725710e-04	4.025323e-01
2.177709772353182e-03	8.766005e-04	4.025332e-01
2.187761623949575e-03	8.806486e-04	4.025341e-01
2.197859872784848e-03	8.847155e-04	4.025350e-01
2.208004733018923e-03	8.888011e-04	4.025359e-01
2.218196419800242e-03	8.929057e-04	4.025368e-01
2.228435149270328e-03	8.970292e-04	4.025377e-01
2.238721138568364e-03	9.011717e-04	4.025386e-01
2.249054605835805e-03	9.053334e-04	4.025395e-01
2.259435770221003e-03	9.095143e-04	4.025404e-01
2.269864851883847e-03	9.137145e-04	4.025414e-01
2.280342072000443e-03	9.179342e-04	4.025423e-01
2.290867652767798e-03	9.221733e-04	4.025432e-01
2.301441817408535e-03	9.264320e-04	4.025442e-01
2.312064790175621e-03	9.307104e-04	4.025451e-01
2.322736796357133e-03	9.350086e-04	4.025460e-01
2.333458062281029e-03	9.393266e-04	4.025470e-01
2.344228815319949e-03	9.436645e-04	4.025480e-01
2.355049283896037e-03	9.480226e-04	4.025489e-01
2.365919697485785e-03	9.524007e-04	4.025499e-01
2.376840286624904e-03	9.567991e-04	4.025508e-01
2.387811282913206e-03	9.612178e-04	4.025518e-01
2.398832919019519e-03	9.656569e-04	4.025528e-01
2.409905428686623e-03	9.701166e-04	4.025538e-01
2.421029046736207e-03	9.745968e-04	4.025548e-01
2.432204009073844e-03	9.790978e-04	4.025558e-01
2.443430552694001e-03	9.836195e-04	4.025568e-01
2.454708915685060e-03	9.881621e-04	4.025578e-01
2.466039337234369e-03	9.927257e-04	4.025588e-01
2.477422057633316e-03	9.973105e-04	4.025598e-01
2.488857318282421e-03	1.001916e-03	4.025608e-01
2.500345361696462e-03	1.006544e-03	4.025618e-01
2.511886431509611e-03	1.011192e-03	4.025628e-01
2.523480772480606e-03	1.015862e-03	4.025639e-01
2.535128630497939e-03	1.020554e-03	4.025649e-01
2.546830252585073e-03	1.025267e-03	4.025659e-01
2.558585886905678e-03	1.030002e-03	4.025670e-01
2.570395782768896e-03	1.034759e-03	4.025680e-01
2.582260190634629e-03	1.039538e-03	4.025691e-01
2.594179362118847e-03	1.044339e-03	4.025701e-01
2.606153549998929e-03	1.049162e-03	4.025712e-01
2.618183008219019e-03	1.054008e-03	4.025723e-01
2.630267991895416e-03	1.058876e-03	4.025733e-01
2.642408757321981e-03	1.063766e-03	4.025744e-01
2.654605561975574e-03	1.068679e-03	4.025755e-01
2.666858664521515e-03	1.073615e-03	4.025766e-01
2.679168324819067e-03	1.078573e-03	4.025777e-01
2.691534803926952e-03	1.083555e-03	4.025788e-01
2.703958364108880e-03	1.088559e-03	4.025799e-01
2.716439268839119e-03	1.093587e-03	4.025810e-01
2.728977782808078e-03	1.098638e-03	4.025821e-01
2.741574171927919e-03	1.103712e-03	4.025832e-01
2.754228703338204e-03	1.108809e-03	4.025843e-01
2.766941645411549e-03	1.113930e-03	4.025854e-01
2.779713267759327e-03	1.119075e-03	4.025866e-01
2.792543841237376e-03	1.124244e-03	4.025877e-01
2.805433637951752e-03	1.129436e-03	4.025889e-01
2.818382931264493e-03	1.134653e-03	4.025900e-01
2.831391995799419e-03	1.139893e-03	4.025912e-01
2.844461107447955e-03	1.145158e-03	4.025923e-01
2.857590543374987e-03	1.150447e-03	4.025935e-01
