r_l	V(vin)	V(vo)	I(RL1)	I(VIN)
1.000000000000000e-03	9.500000e+00	1.500414e-03	1.500414e+00	-1.501474e+00
1.004615790278395e-03	9.500000e+00	1.507340e-03	1.500414e+00	-1.501474e+00
1.009252886076684e-03	9.500000e+00	1.514298e-03	1.500414e+00	-1.501474e+00
1.013911385736680e-03	9.500000e+00	1.521287e-03	1.500414e+00	-1.501474e+00
1.018591388054117e-03	9.500000e+00	1.528309e-03	1.500414e+00	-1.501474e+00
1.023292992280755e-03	9.500000e+00	1.535363e-03	1.500414e+00	-1.501474e+00
1.028016298126474e-03	9.500000e+00	1.542450e-03	1.500414e+00	-1.501474e+00
1.032761405761398e-03	9.500000e+00	1.549570e-03	1.500414e+00	-1.501474e+00
1.037528415818013e-03	9.500000e+00	1.556722e-03	1.500414e+00	-1.501474e+00
1.042317429393305e-03	9.500000e+00	1.563908e-03	1.500414e+00	-1.501474e+00
1.047128548050900e-03	9.500000e+00	1.571127e-03	1.500414e+00	-1.501474e+00
1.051961873823224e-03	9.500000e+00	1.578379e-03	1.500414e+00	-1.501474e+00
1.056817509213659e-03	9.500000e+00	1.585664e-03	1.500414e+00	-1.501474e+00
1.061695557198725e-03	9.500000e+00	1.592983e-03	1.500414e+00	-1.501474e+00
1.066596121230259e-03	9.500000e+00	1.600336e-03	1.500414e+00	-1.501474e+00
1.071519305237607e-03	9.500000e+00	1.607723e-03	1.500414e+00	-1.501474e+00
1.076465213629836e-03	9.500000e+00	1.615144e-03	1.500414e+00	-1.501474e+00
1.081433951297939e-03	9.500000e+00	1.622599e-03	1.500414e+00	-1.501474e+00
1.086425623617067e-03	9.500000e+00	1.630088e-03	1.500414e+00	-1.501474e+00
1.091440336448758e-03	9.500000e+00	1.637612e-03	1.500414e+00	-1.501474e+00
1.096478196143186e-03	9.500000e+00	1.645171e-03	1.500414e+00	-1.501474e+00
1.101539309541416e-03	9.500000e+00	1.652765e-03	1.500414e+00	-1.501474e+00
1.106623783977668e-03	9.500000e+00	1.660394e-03	1.500414e+00	-1.501474e+00
1.111731727281593e-03	9.500000e+00	1.668058e-03	1.500414e+00	-1.501474e+00
1.116863247780563e-03	9.500000e+00	1.675757e-03	1.500414e+00	-1.501474e+00
1.122018454301965e-03	9.500000e+00	1.683492e-03	1.500414e+00	-1.501474e+00
1.127197456175512e-03	9.500000e+00	1.691263e-03	1.500414e+00	-1.501474e+00
1.132400363235559e-03	9.500000e+00	1.699069e-03	1.500414e+00	-1.501474e+00
1.137627285823433e-03	9.500000e+00	1.706912e-03	1.500414e+00	-1.501474e+00
1.142878334789774e-03	9.500000e+00	1.714791e-03	1.500414e+00	-1.501474e+00
1.148153621496885e-03	9.500000e+00	1.722706e-03	1.500414e+00	-1.501474e+00
1.153453257821095e-03	9.500000e+00	1.730657e-03	1.500414e+00	-1.501474e+00
1.158777356155128e-03	9.500000e+00	1.738646e-03	1.500414e+00	-1.501474e+00
1.164126029410494e-03	9.500000e+00	1.746671e-03	1.500414e+00	-1.501474e+00
1.169499391019873e-03	9.500000e+00	1.754733e-03	1.500414e+00	-1.501474e+00
1.174897554939532e-03	9.500000e+00	1.762833e-03	1.500414e+00	-1.501474e+00
1.180320635651732e-03	9.500000e+00	1.770969e-03	1.500414e+00	-1.501474e+00
1.185768748167163e-03	9.500000e+00	1.779144e-03	1.500414e+00	-1.501474e+00
1.191242008027377e-03	9.500000e+00	1.787356e-03	1.500414e+00	-1.501473e+00
1.196740531307246e-03	9.500000e+00	1.795606e-03	1.500414e+00	-1.501473e+00
1.202264434617416e-03	9.500000e+00	1.803894e-03	1.500414e+00	-1.501473e+00
1.207813835106783e-03	9.500000e+00	1.812220e-03	1.500414e+00	-1.501473e+00
