r_l	V(vo)
Step Information: Param R_L 100 .001 .5=0  (Step: 1/1)
1.000000000000000e-03	1.727958e-03
5.009950000000000e-01	8.004806e-01
1.000990000000000e+00	1.486856e+00
1.500985000000000e+00	2.082314e+00
2.000980000000000e+00	2.603118e+00
2.500975000000000e+00	3.061857e+00
3.000970000000000e+00	3.468451e+00
3.500964999999999e+00	3.830831e+00
4.000960000000000e+00	4.155416e+00
4.500955000000000e+00	4.446645e+00
5.000950000000000e+00	4.679497e+00
5.500945000000000e+00	4.786443e+00
6.000940000000000e+00	4.833980e+00
6.500935000000000e+00	4.862022e+00
7.000929999999999e+00	4.881198e+00
7.500925000000000e+00	4.895405e+00
8.000919999999999e+00	4.906466e+00
8.500914999999999e+00	4.915374e+00
9.000909999999999e+00	4.922729e+00
9.500904999999999e+00	4.928920e+00
1.000090000000000e+01	4.934210e+00
1.050089500000000e+01	4.938788e+00
1.100089000000000e+01	4.942792e+00
1.150088500000000e+01	4.946324e+00
1.200088000000000e+01	4.949466e+00
1.250087500000000e+01	4.952280e+00
1.300087000000000e+01	4.954814e+00
1.350086500000000e+01	4.957109e+00
1.400086000000000e+01	4.959198e+00
1.450085500000000e+01	4.961109e+00
1.500085000000000e+01	4.962862e+00
1.550084500000000e+01	4.964478e+00
1.600084000000000e+01	4.965971e+00
1.650083500000000e+01	4.967355e+00
1.700083000000000e+01	4.968643e+00
1.750082500000000e+01	4.969843e+00
1.800082000000000e+01	4.970965e+00
1.850081500000000e+01	4.972017e+00
1.900081000000000e+01	4.973004e+00
1.950080500000000e+01	4.973933e+00
2.000080000000000e+01	4.974808e+00
2.050079500000000e+01	4.975635e+00
2.100079000000000e+01	4.976418e+00
2.150078500000000e+01	4.977159e+00
2.200078000000000e+01	4.977861e+00
2.250077500000000e+01	4.978530e+00
2.300077000000000e+01	4.979166e+00
2.350076500000000e+01	4.979772e+00
2.400076000000000e+01	4.980350e+00
2.450075500000000e+01	4.980901e+00
2.500075000000000e+01	4.981429e+00
2.550074500000000e+01	4.981935e+00
2.600074000000000e+01	4.982419e+00
2.650073500000000e+01	4.982882e+00
2.700073000000000e+01	4.983328e+00
2.750072500000000e+01	4.983757e+00
2.800072000000000e+01	4.984169e+00
2.850071500000000e+01	4.984565e+00
2.900071000000000e+01	4.984946e+00
2.950070500000000e+01	4.985314e+00
3.000070000000000e+01	4.985669e+00
3.050069500000000e+01	4.986012e+00
3.100069000000000e+01	4.986343e+00
3.150068500000000e+01	4.986663e+00
3.200068000000000e+01	4.986972e+00
3.250067499999999e+01	4.987272e+00
3.300066999999999e+01	4.987562e+00
3.350066500000000e+01	4.987843e+00
3.400066000000000e+01	4.988116e+00
3.450065499999999e+01	4.988380e+00
3.500064999999999e+01	4.988636e+00
3.550064500000000e+01	4.988885e+00
3.600064000000000e+01	4.989128e+00
3.650063500000000e+01	4.989363e+00
3.700062999999999e+01	4.989591e+00
3.750062499999999e+01	4.989814e+00
3.800062000000000e+01	4.990030e+00
3.850061500000000e+01	4.990241e+00
3.900060999999999e+01	4.990446e+00
3.950060499999999e+01	4.990646e+00
4.000060000000000e+01	4.990841e+00
4.050059500000000e+01	4.991031e+00
4.100059000000000e+01	4.991217e+00
4.150058499999999e+01	4.991397e+00
4.200057999999999e+01	4.991574e+00
4.250057500000000e+01	4.991746e+00
4.300057000000000e+01	4.991915e+00
4.350056499999999e+01	4.992079e+00
4.400055999999999e+01	4.992240e+00
4.450055499999999e+01	4.992397e+00
4.500055000000000e+01	4.992551e+00
4.550054500000000e+01	4.992702e+00
4.600053999999999e+01	4.992849e+00
4.650053499999999e+01	4.992993e+00
4.700053000000000e+01	4.993134e+00
4.750052500000000e+01	4.993272e+00
4.800051999999999e+01	4.993407e+00
4.850051499999999e+01	4.993540e+00
4.900050999999999e+01	4.993670e+00
4.950050500000000e+01	4.993797e+00
5.000050000000000e+01	4.993922e+00
5.050049499999999e+01	4.994044e+00
5.100048999999999e+01	4.994164e+00
5.150048500000000e+01	4.994282e+00
5.200048000000000e+01	4.994398e+00
5.250047499999999e+01	4.994511e+00
5.300046999999999e+01	4.994622e+00
5.350046499999999e+01	4.994732e+00
5.400046000000000e+01	4.994839e+00
5.450045500000000e+01	4.994945e+00
5.500044999999999e+01	4.995048e+00
5.550044499999999e+01	4.995150e+00
5.600043999999999e+01	4.995250e+00
5.650043500000000e+01	4.995348e+00
5.700042999999999e+01	4.995445e+00
5.750042499999999e+01	4.995541e+00
5.800041999999999e+01	4.995634e+00
5.850041500000000e+01	4.995726e+00
5.900041000000000e+01	4.995817e+00
5.950040499999999e+01	4.995906e+00
6.000039999999999e+01	4.995993e+00
6.050039499999999e+01	4.996079e+00
6.100039000000000e+01	4.996165e+00
6.150038499999999e+01	4.996248e+00
6.200037999999999e+01	4.996331e+00
6.250037499999999e+01	4.996412e+00
6.300037000000000e+01	4.996491e+00
6.350036500000000e+01	4.996570e+00
6.400036000000000e+01	4.996648e+00
6.450035500000000e+01	4.996724e+00
6.500035000000000e+01	4.996799e+00
6.550034500000000e+01	4.996874e+00
6.600033999999999e+01	4.996947e+00
6.650033500000001e+01	4.997019e+00
6.700033000000001e+01	4.997090e+00
6.750032500000000e+01	4.997160e+00
6.800032000000000e+01	4.997230e+00
6.850031500000000e+01	4.997298e+00
6.900031000000000e+01	4.997365e+00
6.950030500000000e+01	4.997431e+00
7.000030000000000e+01	4.997497e+00
7.050029499999999e+01	4.997561e+00
7.100029000000001e+01	4.997625e+00
7.150028500000001e+01	4.997688e+00
7.200028000000000e+01	4.997750e+00
7.250027500000000e+01	4.997812e+00
7.300027000000000e+01	4.997872e+00
7.350026500000000e+01	4.997932e+00
7.400026000000000e+01	4.997991e+00
7.450025500000000e+01	4.998049e+00
7.500024999999999e+01	4.998107e+00
7.550024500000001e+01	4.998164e+00
7.600024000000001e+01	4.998220e+00
7.650023500000000e+01	4.998275e+00
7.700023000000000e+01	4.998330e+00
7.750022500000000e+01	4.998384e+00
7.800022000000000e+01	4.998438e+00
7.850021500000000e+01	4.998491e+00
7.900021000000000e+01	4.998543e+00
7.950020499999999e+01	4.998595e+00
8.000020000000001e+01	4.998646e+00
8.050019500000001e+01	4.998697e+00
8.100019000000000e+01	4.998746e+00
8.150018500000000e+01	4.998796e+00
8.200018000000000e+01	4.998845e+00
8.250017500000000e+01	4.998893e+00
8.300017000000000e+01	4.998941e+00
8.350016500000000e+01	4.998988e+00
8.400015999999999e+01	4.999035e+00
8.450015499999999e+01	4.999081e+00
8.500015000000000e+01	4.999127e+00
8.550014500000000e+01	4.999172e+00
8.600014000000000e+01	4.999217e+00
8.650013500000000e+01	4.999261e+00
8.700013000000000e+01	4.999305e+00
8.750012500000000e+01	4.999348e+00
8.800012000000000e+01	4.999392e+00
8.850011499999999e+01	4.999434e+00
8.900010999999999e+01	4.999476e+00
8.950010500000000e+01	4.999517e+00
9.000010000000000e+01	4.999559e+00
9.050009500000000e+01	4.999599e+00
9.100009000000000e+01	4.999640e+00
9.150008500000000e+01	4.999680e+00
9.200008000000000e+01	4.999720e+00
9.250007500000000e+01	4.999759e+00
9.300006999999999e+01	4.999798e+00
9.350006499999999e+01	4.999836e+00
9.400006000000000e+01	4.999874e+00
9.450005500000000e+01	4.999912e+00
9.500005000000000e+01	4.999949e+00
9.550004500000000e+01	4.999986e+00
9.600004000000000e+01	5.000023e+00
9.650003500000000e+01	5.000059e+00
9.700003000000000e+01	5.000095e+00
9.750002499999999e+01	5.000131e+00
9.800001999999999e+01	5.000166e+00
9.850001500000000e+01	5.000201e+00
9.900001000000000e+01	5.000236e+00
9.950000500000000e+01	5.000270e+00
1.000000000000000e+02	5.000305e+00
