VIN	V(vo)
0.000000000000000e+00	1.022969e-09
1.000000000000000e-01	8.177368e-06
2.000000000000000e-01	1.042245e-05
3.000000000000000e-01	1.104273e-05
4.000000000000000e-01	1.123317e-05
5.000000000000000e-01	1.130834e-05
6.000000000000001e-01	1.135065e-05
7.000000000000001e-01	1.138444e-05
8.000000000000000e-01	1.141632e-05
9.000000000000000e-01	1.144808e-05
1.000000000000000e+00	1.148020e-05
1.100000000000000e+00	1.151281e-05
1.200000000000000e+00	1.154613e-05
1.300000000000000e+00	1.158880e-05
1.400000000000000e+00	1.207408e-05
1.500000000000000e+00	4.100082e-05
1.600000000000000e+00	3.527417e-03
1.700000000000000e+00	1.094895e+00
1.800000000000000e+00	1.246083e+00
1.900000000000000e+00	1.345198e+00
2.000000000000000e+00	1.443905e+00
2.100000000000000e+00	1.542826e+00
2.200000000000000e+00	1.641825e+00
2.300000000000000e+00	1.740883e+00
2.400000000000000e+00	1.839991e+00
2.500000000000000e+00	1.939145e+00
2.600000000000000e+00	2.038340e+00
2.700000000000000e+00	2.137572e+00
2.800000000000000e+00	2.236839e+00
2.900000000000000e+00	2.336136e+00
3.000000000000000e+00	2.435462e+00
3.100000000000000e+00	2.534814e+00
3.200000000000000e+00	2.634190e+00
3.300000000000000e+00	2.733589e+00
3.400000000000000e+00	2.833009e+00
3.500000000000000e+00	2.932448e+00
3.600000000000000e+00	3.031905e+00
3.700000000000000e+00	3.131379e+00
3.800000000000000e+00	3.230870e+00
3.900000000000000e+00	3.330375e+00
4.000000000000000e+00	3.429894e+00
4.100000000000001e+00	3.529427e+00
4.200000000000000e+00	3.628972e+00
4.300000000000000e+00	3.728530e+00
4.400000000000000e+00	3.828098e+00
4.500000000000000e+00	3.927677e+00
4.600000000000001e+00	4.027267e+00
4.700000000000000e+00	4.126866e+00
4.800000000000001e+00	4.226474e+00
4.900000000000000e+00	4.326090e+00
5.000000000000000e+00	4.425712e+00
5.100000000000001e+00	4.525329e+00
5.200000000000000e+00	4.624893e+00
5.300000000000001e+00	4.724186e+00
5.400000000000000e+00	4.822225e+00
5.500000000000000e+00	4.914669e+00
5.600000000000001e+00	4.983238e+00
5.700000000000000e+00	5.000407e+00
5.800000000000001e+00	5.001454e+00
5.900000000000000e+00	5.001871e+00
6.000000000000000e+00	5.002273e+00
6.100000000000001e+00	5.002673e+00
6.200000000000000e+00	5.003072e+00
6.300000000000001e+00	5.003470e+00
6.400000000000000e+00	5.003866e+00
6.500000000000000e+00	5.004261e+00
6.600000000000001e+00	5.004654e+00
6.700000000000000e+00	5.005046e+00
6.800000000000001e+00	5.005437e+00
6.900000000000000e+00	5.005826e+00
7.000000000000000e+00	5.006214e+00
7.100000000000001e+00	5.006601e+00
7.200000000000000e+00	5.006986e+00
7.300000000000001e+00	5.007370e+00
7.400000000000000e+00	5.007753e+00
7.500000000000000e+00	5.008134e+00
7.600000000000001e+00	5.008515e+00
7.700000000000000e+00	5.008893e+00
7.800000000000001e+00	5.009272e+00
7.900000000000000e+00	5.009648e+00
8.000000000000000e+00	5.010023e+00
8.100000000000000e+00	5.010397e+00
8.200000000000001e+00	5.010770e+00
8.300000000000001e+00	5.011142e+00
8.400000000000000e+00	5.011512e+00
8.500000000000000e+00	5.011881e+00
8.600000000000000e+00	5.012249e+00
8.700000000000001e+00	5.012616e+00
8.800000000000001e+00	5.012982e+00
8.900000000000000e+00	5.013347e+00
9.000000000000000e+00	5.013710e+00
9.100000000000000e+00	5.014072e+00
9.200000000000001e+00	5.014433e+00
9.300000000000001e+00	5.014793e+00
9.400000000000000e+00	5.015152e+00
9.500000000000000e+00	5.015510e+00
9.600000000000001e+00	5.015867e+00
9.700000000000001e+00	5.016222e+00
9.800000000000001e+00	5.016577e+00
9.900000000000000e+00	5.016930e+00
1.000000000000000e+01	5.017282e+00
1.010000000000000e+01	5.017633e+00
1.020000000000000e+01	5.017984e+00
1.030000000000000e+01	5.018333e+00
1.040000000000000e+01	5.018681e+00
1.050000000000000e+01	5.019028e+00
1.060000000000000e+01	5.019374e+00
1.070000000000000e+01	5.019719e+00
1.080000000000000e+01	5.020063e+00
1.090000000000000e+01	5.020406e+00
1.100000000000000e+01	5.020748e+00
1.110000000000000e+01	5.021089e+00
1.120000000000000e+01	5.021429e+00
1.130000000000000e+01	5.021768e+00
1.140000000000000e+01	5.022106e+00
1.150000000000000e+01	5.022443e+00
1.160000000000000e+01	5.022779e+00
1.170000000000000e+01	5.023114e+00
1.180000000000000e+01	5.023448e+00
1.190000000000000e+01	5.023781e+00
1.200000000000000e+01	5.024114e+00
1.210000000000000e+01	5.024445e+00
1.220000000000000e+01	5.024775e+00
1.230000000000000e+01	5.025105e+00
1.240000000000000e+01	5.025433e+00
1.250000000000000e+01	5.025761e+00
1.260000000000000e+01	5.026087e+00
1.270000000000000e+01	5.026413e+00
1.280000000000000e+01	5.026738e+00
1.290000000000000e+01	5.027062e+00
1.300000000000000e+01	5.027385e+00
1.310000000000000e+01	5.027707e+00
1.320000000000000e+01	5.028028e+00
1.330000000000000e+01	5.028349e+00
1.340000000000000e+01	5.028668e+00
1.350000000000000e+01	5.028987e+00
1.360000000000000e+01	5.029305e+00
1.370000000000000e+01	5.029622e+00
1.380000000000000e+01	5.029938e+00
1.390000000000000e+01	5.030253e+00
1.400000000000000e+01	5.030568e+00
1.410000000000000e+01	5.030881e+00
1.420000000000000e+01	5.031194e+00
1.430000000000000e+01	5.031506e+00
1.440000000000000e+01	5.031817e+00
1.450000000000000e+01	5.032127e+00
1.460000000000000e+01	5.032437e+00
1.470000000000000e+01	5.032746e+00
1.480000000000000e+01	5.033053e+00
1.490000000000000e+01	5.033360e+00
1.500000000000000e+01	5.033667e+00
1.510000000000000e+01	5.033972e+00
1.520000000000000e+01	5.034277e+00
1.530000000000000e+01	5.034581e+00
1.540000000000000e+01	5.034884e+00
1.550000000000000e+01	5.035187e+00
1.560000000000000e+01	5.035488e+00
1.570000000000000e+01	5.035789e+00
1.580000000000000e+01	5.036089e+00
1.590000000000000e+01	5.036389e+00
1.600000000000000e+01	5.036687e+00
1.610000000000000e+01	5.036985e+00
1.620000000000000e+01	5.037282e+00
1.630000000000000e+01	5.037579e+00
1.640000000000000e+01	5.037874e+00
1.650000000000000e+01	5.038169e+00
1.660000000000000e+01	5.038463e+00
1.670000000000000e+01	5.038757e+00
1.680000000000000e+01	5.039049e+00
1.690000000000000e+01	5.039341e+00
1.700000000000000e+01	5.039633e+00
1.710000000000000e+01	5.039923e+00
1.720000000000000e+01	5.040213e+00
1.730000000000000e+01	5.040503e+00
1.740000000000000e+01	5.040791e+00
1.750000000000000e+01	5.041079e+00
1.760000000000000e+01	5.041366e+00
1.770000000000000e+01	5.041652e+00
1.780000000000000e+01	5.041938e+00
1.790000000000000e+01	5.042223e+00
1.800000000000000e+01	5.042507e+00
1.810000000000000e+01	5.042791e+00
1.820000000000000e+01	5.043074e+00
1.830000000000000e+01	5.043356e+00
1.840000000000000e+01	5.043638e+00
1.850000000000000e+01	5.043919e+00
1.860000000000000e+01	5.044199e+00
1.870000000000000e+01	5.044479e+00
1.880000000000000e+01	5.044758e+00
1.890000000000000e+01	5.045036e+00
1.900000000000000e+01	5.045314e+00
1.910000000000000e+01	5.045591e+00
1.920000000000000e+01	5.045868e+00
1.930000000000000e+01	5.046144e+00
1.940000000000000e+01	5.046419e+00
1.950000000000000e+01	5.046694e+00
1.960000000000000e+01	5.046968e+00
1.970000000000000e+01	5.047241e+00
1.980000000000000e+01	5.047513e+00
1.990000000000000e+01	5.047786e+00
2.000000000000000e+01	5.048057e+00
2.010000000000000e+01	5.048328e+00
2.020000000000000e+01	5.048598e+00
2.030000000000000e+01	5.048868e+00
2.040000000000000e+01	5.049137e+00
2.050000000000000e+01	5.049406e+00
2.060000000000000e+01	5.049674e+00
2.070000000000000e+01	5.049941e+00
2.080000000000000e+01	5.050208e+00
2.090000000000000e+01	5.050474e+00
2.100000000000000e+01	5.050739e+00
2.110000000000000e+01	5.051004e+00
2.120000000000000e+01	5.051269e+00
2.130000000000000e+01	5.051532e+00
2.140000000000000e+01	5.051795e+00
2.150000000000000e+01	5.052058e+00
2.160000000000000e+01	5.052320e+00
2.170000000000000e+01	5.052582e+00
2.180000000000000e+01	5.052843e+00
2.190000000000000e+01	5.053103e+00
2.200000000000000e+01	5.053363e+00
2.210000000000000e+01	5.053622e+00
2.220000000000000e+01	5.053881e+00
2.230000000000000e+01	5.054139e+00
2.240000000000000e+01	5.054397e+00
2.250000000000000e+01	5.054654e+00
2.260000000000000e+01	5.054910e+00
2.270000000000000e+01	5.055166e+00
2.280000000000000e+01	5.055422e+00
2.290000000000000e+01	5.055676e+00
2.300000000000000e+01	5.055931e+00
2.310000000000000e+01	5.056185e+00
2.320000000000000e+01	5.056438e+00
2.330000000000000e+01	5.056691e+00
2.340000000000000e+01	5.056943e+00
2.350000000000000e+01	5.057195e+00
2.360000000000000e+01	5.057446e+00
2.370000000000000e+01	5.057697e+00
2.380000000000000e+01	5.057947e+00
2.390000000000000e+01	5.058197e+00
2.400000000000000e+01	5.058446e+00
2.410000000000000e+01	5.058694e+00
2.420000000000000e+01	5.058942e+00
2.430000000000000e+01	5.059190e+00
2.440000000000000e+01	5.059437e+00
2.450000000000000e+01	5.059684e+00
2.460000000000000e+01	5.059930e+00
2.470000000000000e+01	5.060176e+00
2.480000000000000e+01	5.060421e+00
