VIN	V(vo)
0.000000000000000e+00	4.342467e-10
1.000000000000000e-01	1.470512e-06
2.000000000000000e-01	2.172289e-05
3.000000000000000e-01	3.929001e-04
4.000000000000000e-01	1.007291e-02
5.000000000000000e-01	6.294561e-02
6.000000000000001e-01	1.412217e-01
7.000000000000001e-01	2.276731e-01
8.000000000000000e-01	3.177521e-01
9.000000000000000e-01	4.098520e-01
1.000000000000000e+00	5.032333e-01
1.100000000000000e+00	5.975015e-01
1.200000000000000e+00	6.924201e-01
1.300000000000000e+00	7.878370e-01
1.400000000000000e+00	8.836454e-01
1.500000000000000e+00	9.797776e-01
1.600000000000000e+00	1.076175e+00
1.700000000000000e+00	1.172796e+00
1.800000000000000e+00	1.269608e+00
1.900000000000000e+00	1.366587e+00
2.000000000000000e+00	1.463710e+00
2.100000000000000e+00	1.560961e+00
2.200000000000000e+00	1.658326e+00
2.300000000000000e+00	1.755794e+00
2.400000000000000e+00	1.853354e+00
2.500000000000000e+00	1.950997e+00
2.600000000000000e+00	2.048716e+00
2.700000000000000e+00	2.146505e+00
2.800000000000000e+00	2.244359e+00
2.900000000000000e+00	2.342271e+00
3.000000000000000e+00	2.440238e+00
3.100000000000000e+00	2.538256e+00
3.200000000000000e+00	2.636322e+00
3.300000000000000e+00	2.734432e+00
3.400000000000000e+00	2.832583e+00
3.500000000000000e+00	2.930773e+00
3.600000000000000e+00	3.029000e+00
3.700000000000000e+00	3.127261e+00
3.800000000000000e+00	3.225555e+00
3.900000000000000e+00	3.323880e+00
4.000000000000000e+00	3.422234e+00
4.100000000000001e+00	3.520616e+00
4.200000000000000e+00	3.619025e+00
4.300000000000000e+00	3.717458e+00
4.400000000000000e+00	3.815915e+00
4.500000000000000e+00	3.914395e+00
4.600000000000001e+00	4.012894e+00
4.700000000000000e+00	4.111407e+00
4.800000000000001e+00	4.209904e+00
4.900000000000000e+00	4.308259e+00
5.000000000000000e+00	4.405921e+00
5.100000000000001e+00	4.500654e+00
5.200000000000000e+00	4.585753e+00
5.300000000000001e+00	4.652050e+00
5.400000000000000e+00	4.698732e+00
5.500000000000000e+00	4.731866e+00
5.600000000000001e+00	4.756692e+00
5.700000000000000e+00	4.776299e+00
5.800000000000001e+00	4.792445e+00
5.900000000000000e+00	4.806170e+00
6.000000000000000e+00	4.818124e+00
6.100000000000001e+00	4.828733e+00
6.200000000000000e+00	4.838292e+00
6.300000000000001e+00	4.847010e+00
6.400000000000000e+00	4.855041e+00
6.500000000000000e+00	4.862502e+00
6.600000000000001e+00	4.869480e+00
6.700000000000000e+00	4.876046e+00
6.800000000000001e+00	4.882258e+00
6.900000000000000e+00	4.888162e+00
7.000000000000000e+00	4.893795e+00
7.100000000000001e+00	4.899187e+00
7.200000000000000e+00	4.904366e+00
7.300000000000001e+00	4.909354e+00
7.400000000000000e+00	4.914170e+00
7.500000000000000e+00	4.918829e+00
7.600000000000001e+00	4.923347e+00
7.700000000000000e+00	4.927737e+00
7.800000000000001e+00	4.932007e+00
7.900000000000000e+00	4.936169e+00
8.000000000000000e+00	4.940231e+00
8.100000000000000e+00	4.944201e+00
8.200000000000001e+00	4.948084e+00
8.300000000000001e+00	4.951888e+00
8.400000000000000e+00	4.955617e+00
8.500000000000000e+00	4.959278e+00
8.600000000000000e+00	4.962873e+00
8.700000000000001e+00	4.966408e+00
8.800000000000001e+00	4.969887e+00
8.900000000000000e+00	4.973311e+00
9.000000000000000e+00	4.976686e+00
9.100000000000000e+00	4.980013e+00
9.200000000000001e+00	4.983295e+00
9.300000000000001e+00	4.986535e+00
9.400000000000000e+00	4.989735e+00
9.500000000000000e+00	4.992897e+00
9.600000000000001e+00	4.996023e+00
9.700000000000001e+00	4.999115e+00
9.800000000000001e+00	5.002174e+00
9.900000000000000e+00	5.005203e+00
1.000000000000000e+01	5.008202e+00
1.010000000000000e+01	5.011173e+00
1.020000000000000e+01	5.014117e+00
1.030000000000000e+01	5.017036e+00
1.040000000000000e+01	5.019931e+00
1.050000000000000e+01	5.022802e+00
1.060000000000000e+01	5.025651e+00
1.070000000000000e+01	5.028479e+00
1.080000000000000e+01	5.031286e+00
1.090000000000000e+01	5.034073e+00
1.100000000000000e+01	5.036842e+00
1.110000000000000e+01	5.039593e+00
1.120000000000000e+01	5.042327e+00
1.130000000000000e+01	5.045044e+00
1.140000000000000e+01	5.047746e+00
1.150000000000000e+01	5.050432e+00
1.160000000000000e+01	5.053103e+00
1.170000000000000e+01	5.055760e+00
1.180000000000000e+01	5.058404e+00
1.190000000000000e+01	5.061035e+00
1.200000000000000e+01	5.063653e+00
1.210000000000000e+01	5.066258e+00
1.220000000000000e+01	5.068853e+00
1.230000000000000e+01	5.071436e+00
1.240000000000000e+01	5.074008e+00
1.250000000000000e+01	5.076570e+00
1.260000000000000e+01	5.079122e+00
1.270000000000000e+01	5.081663e+00
1.280000000000000e+01	5.084196e+00
1.290000000000000e+01	5.086720e+00
1.300000000000000e+01	5.089234e+00
1.310000000000000e+01	5.091741e+00
1.320000000000000e+01	5.094239e+00
1.330000000000000e+01	5.096730e+00
1.340000000000000e+01	5.099213e+00
1.350000000000000e+01	5.101688e+00
1.360000000000000e+01	5.104157e+00
1.370000000000000e+01	5.106619e+00
1.380000000000000e+01	5.109074e+00
1.390000000000000e+01	5.111523e+00
1.400000000000000e+01	5.113966e+00
1.410000000000000e+01	5.116403e+00
1.420000000000000e+01	5.118834e+00
1.430000000000000e+01	5.121260e+00
1.440000000000000e+01	5.123680e+00
1.450000000000000e+01	5.126095e+00
1.460000000000000e+01	5.128506e+00
1.470000000000000e+01	5.130911e+00
1.480000000000000e+01	5.133312e+00
1.490000000000000e+01	5.135708e+00
1.500000000000000e+01	5.138100e+00
1.510000000000000e+01	5.140488e+00
1.520000000000000e+01	5.142872e+00
1.530000000000000e+01	5.145252e+00
1.540000000000000e+01	5.147628e+00
1.550000000000000e+01	5.150001e+00
1.560000000000000e+01	5.152369e+00
1.570000000000000e+01	5.154736e+00
1.580000000000000e+01	5.157098e+00
1.590000000000000e+01	5.159458e+00
1.600000000000000e+01	5.161814e+00
1.610000000000000e+01	5.164167e+00
1.620000000000000e+01	5.166518e+00
1.630000000000000e+01	5.168867e+00
1.640000000000000e+01	5.171212e+00
1.650000000000000e+01	5.173555e+00
