"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100u","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C2","1","47u","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"C3","1","180p","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C4","1","220p","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C5,C12","2","10n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C6,C7,C8,C9","4","100n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C10","1","8.2n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C11","1","12n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C13","1","330n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"D1,D2,D3","3","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"J1,J2,J3","3","Screw_Terminal_01x02","","","","Connector_Samtec_HPM_THT:Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm","~"
"JP1,JP2,JP3","3","Jumper_2_Bridged","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"L1","1","300u","","","","Transformer_THT:Transformer_Breve_TEZ-35x42","~"
"Q1,Q2","2","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1,R2","2","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R4,R11,R12,R16","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R8","2","820","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","39k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","91k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10,R13","2","15k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14","1","2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15","1","9k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R17,R18,R19,R20","4","0","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","IR2104","","","","Package_DIP:DIP-8_W7.62mm_LongPads","https://www.infineon.com/dgdl/ir2104.pdf?fileId=5546d462533600a4015355c7c1c31671"
"U2,U7","2","TL072","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U3,U6","2","LM393","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U4","1","L7809","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U8","1","TL431LP","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.ti.com/lit/ds/symlink/tl431.pdf"
