Freq.	V(y)/V(x)
1.00000000000000e+00	(1.41326916575572e+02dB,1.77615730979699e+02°)
1.00770481413610e+00	(1.41326800679518e+02dB,1.77597381993686e+02°)
1.01546899243308e+00	(1.41326682999333e+02dB,1.77578892127569e+02°)
1.02329299228075e+00	(1.41326563462445e+02dB,1.77560260319974e+02°)
1.03117727459306e+00	(1.41326442164222e+02dB,1.77541485454373e+02°)
1.03912230383517e+00	(1.41326318918996e+02dB,1.77522566485123e+02°)
1.04712854805090e+00	(1.41326193798815e+02dB,1.77503502285572e+02°)
1.05519647889024e+00	(1.41326066740594e+02dB,1.77484291759110e+02°)
1.06332657163716e+00	(1.41325937692024e+02dB,1.77464933797832e+02°)
1.07151930523761e+00	(1.41325806701342e+02dB,1.77445427256106e+02°)
1.07977516232771e+00	(1.41325673636755e+02dB,1.77425771032415e+02°)
1.08809462926223e+00	(1.41325538590447e+02dB,1.77405963950799e+02°)
1.09647819614319e+00	(1.41325401373571e+02dB,1.77386004910051e+02°)
1.10492635684876e+00	(1.41325262077340e+02dB,1.77365892716918e+02°)
1.11343960906236e+00	(1.41325120646585e+02dB,1.77345626212918e+02°)
1.12201845430196e+00	(1.41324977036863e+02dB,1.77325204227785e+02°)
1.13066339794964e+00	(1.41324831180779e+02dB,1.77304625589509e+02°)
1.13937494928134e+00	(1.41324683088965e+02dB,1.77283889093246e+02°)
1.14815362149688e+00	(1.41324532704204e+02dB,1.77262993546013e+02°)
1.15699993175021e+00	(1.41324380013627e+02dB,1.77241937731934e+02°)
1.16591440117983e+00	(1.41324224958945e+02dB,1.77220720440410e+02°)
1.17489755493953e+00	(1.41324067526197e+02dB,1.77199340437568e+02°)
1.18394992222930e+00	(1.41323907644769e+02dB,1.77177796498452e+02°)
1.19307203632654e+00	(1.41323745299578e+02dB,1.77156087371105e+02°)
1.20226443461741e+00	(1.41323580463739e+02dB,1.77134211797684e+02°)
1.21152765862859e+00	(1.41323413053705e+02dB,1.77112168529838e+02°)
1.22086225405907e+00	(1.41323243030207e+02dB,1.77089956295251e+02°)
1.23026877081238e+00	(1.41323070454310e+02dB,1.77067573778180e+02°)
1.23974776302895e+00	(1.41322895184587e+02dB,1.77045019721150e+02°)
1.24929978911874e+00	(1.41322717213580e+02dB,1.77022292812097e+02°)
1.25892541179417e+00	(1.41322536510767e+02dB,1.76999391736812e+02°)
1.26862519810326e+00	(1.41322353011347e+02dB,1.76976315183112e+02°)
1.27839971946303e+00	(1.41322166717153e+02dB,1.76953061805768e+02°)
1.28824955169314e+00	(1.41321977461163e+02dB,1.76929630308791e+02°)
1.29817527504985e+00	(1.41321785344797e+02dB,1.76906019291888e+02°)
1.30817747426020e+00	(1.41321590266965e+02dB,1.76882227415863e+02°)
1.31825673855641e+00	(1.41321392193163e+02dB,1.76858253307685e+02°)
1.32841366171065e+00	(1.41321191020926e+02dB,1.76834095608975e+02°)
1.33864884207000e+00	(1.41320986792817e+02dB,1.76809752898226e+02°)
1.34896288259166e+00	(1.41320779393732e+02dB,1.76785223801013e+02°)
1.35935639087853e+00	(1.41320568786310e+02dB,1.76760506904239e+02°)
1.36982997921497e+00	(1.41320354910030e+02dB,1.76735600792812e+02°)
1.38038426460289e+00	(1.41320137759659e+02dB,1.76710504020258e+02°)
1.39101986879806e+00	(1.41319917250740e+02dB,1.76685215159253e+02°)
1.40173741834677e+00	(1.41319693387700e+02dB,1.76659732737868e+02°)
1.41253754462276e+00	(1.41319466039695e+02dB,1.76634055325167e+02°)
1.42342088386435e+00	(1.41319235187151e+02dB,1.76608181436795e+02°)
1.43438807721197e+00	(1.41319000764857e+02dB,1.76582109595106e+02°)
1.44543977074593e+00	(1.41318762785210e+02dB,1.76555838280659e+02°)
1.45657661552446e+00	(1.41318521080501e+02dB,1.76529366034229e+02°)
1.46779926762207e+00	(1.41318275639035e+02dB,1.76502691323888e+02°)
1.47910838816821e+00	(1.41318026504258e+02dB,1.76475812583558e+02°)
1.49050464338620e+00	(1.41317773416278e+02dB,1.76448728358717e+02°)
1.50198870463249e+00	(1.41317516495190e+02dB,1.76421437029260e+02°)
1.51356124843621e+00	(1.41317255636145e+02dB,1.76393937054922e+02°)
1.52522295653902e+00	(1.41316990699788e+02dB,1.76366226898829e+02°)
1.53697451593528e+00	(1.41316721691444e+02dB,1.76338304952524e+02°)
1.54881661891249e+00	(1.41316448593081e+02dB,1.76310169604943e+02°)
1.56074996309212e+00	(1.41316171240135e+02dB,1.76281819295401e+02°)
1.57277525147067e+00	(1.41315889601456e+02dB,1.76253252395160e+02°)
1.58489319246112e+00	(1.41315603622510e+02dB,1.76224467273254e+02°)
1.59710449993461e+00	(1.41315313270153e+02dB,1.76195462277319e+02°)
1.60940989326254e+00	(1.41315018465436e+02dB,1.76166235762577e+02°)
1.62181009735894e+00	(1.41314719094806e+02dB,1.76136786087774e+02°)
1.63430584272314e+00	(1.41314415077254e+02dB,1.76107111585371e+02°)
1.64689786548288e+00	(1.41314106386677e+02dB,1.76077210550962e+02°)
1.65958690743757e+00	(1.41313793007072e+02dB,1.76047081262521e+02°)
1.67237371610209e+00	(1.41313474787043e+02dB,1.76016722046873e+02°)
1.68525904475076e+00	(1.41313151641246e+02dB,1.75986131188978e+02°)
1.69824365246175e+00	(1.41312823527972e+02dB,1.75955306940937e+02°)
1.71132830416179e+00	(1.41312490348419e+02dB,1.75924247568614e+02°)
1.72451377067121e+00	(1.41312152036196e+02dB,1.75892951309930e+02°)
1.73780082874938e+00	(1.41311808546104e+02dB,1.75861416379885e+02°)
1.75119026114047e+00	(1.41311459775816e+02dB,1.75829641007423e+02°)
1.76468285661951e+00	(1.41311105632983e+02dB,1.75797623404060e+02°)
1.77827941003893e+00	(1.41310746046398e+02dB,1.75765361758003e+02°)
1.79198072237534e+00	(1.41310380932423e+02dB,1.75732854250305e+02°)
1.80578760077673e+00	(1.41310010139065e+02dB,1.75700099082727e+02°)
1.81970085860999e+00	(1.41309633691957e+02dB,1.75667094355920e+02°)
1.83372131550889e+00	(1.41309251470058e+02dB,1.75633838229364e+02°)
1.84784979742230e+00	(1.41308863362194e+02dB,1.75600328844524e+02°)
1.86208713666288e+00	(1.41308469255857e+02dB,1.75566564330323e+02°)
1.87643417195610e+00	(1.41308069104246e+02dB,1.75532542768720e+02°)
1.89089174848965e+00	(1.41307662803284e+02dB,1.75498262256835e+02°)
1.90546071796326e+00	(1.41307250303366e+02dB,1.75463720849673e+02°)
1.92014193863881e+00	(1.41306831352332e+02dB,1.75428916694577e+02°)
1.93493627539096e+00	(1.41306406042976e+02dB,1.75393847744164e+02°)
1.94984459975806e+00	(1.41305974220789e+02dB,1.75358512066345e+02°)
1.96486778999348e+00	(1.41305535696285e+02dB,1.75322907734655e+02°)
1.98000673111740e+00	(1.41305090479552e+02dB,1.75287032701497e+02°)
1.99526231496889e+00	(1.41304638411580e+02dB,1.75250884995769e+02°)
2.01063544025850e+00	(1.41304179376501e+02dB,1.75214462609124e+02°)
2.02612701262116e+00	(1.41303713335033e+02dB,1.75177763476471e+02°)
2.04173794466954e+00	(1.41303240067640e+02dB,1.75140785618024e+02°)
2.05746915604785e+00	(1.41302759598799e+02dB,1.75103526903600e+02°)
2.07332157348597e+00	(1.41302271728049e+02dB,1.75065985314020e+02°)
2.08929613085405e+00	(1.41301776387224e+02dB,1.75028158740999e+02°)
2.10539376921756e+00	(1.41301273394856e+02dB,1.74990045126289e+02°)
2.12161543689270e+00	(1.41300762657050e+02dB,1.74951642346791e+02°)
2.13796208950225e+00	(1.41300244167413e+02dB,1.74912948212876e+02°)
2.15443469003190e+00	(1.41299717683471e+02dB,1.74873960657221e+02°)
2.17103420888697e+00	(1.41299183117170e+02dB,1.74834677507857e+02°)
2.18776162394957e+00	(1.41298640334009e+02dB,1.74795096604595e+02°)
2.20461792063620e+00	(1.41298089253402e+02dB,1.74755215739834e+02°)
2.22160409195583e+00	(1.41297529714825e+02dB,1.74715032738449e+02°)
2.23872113856835e+00	(1.41296961589311e+02dB,1.74674545391017e+02°)
2.25597006884359e+00	(1.41296384745969e+02dB,1.74633751473882e+02°)
2.27335189892065e+00	(1.41295799074245e+02dB,1.74592648735198e+02°)
2.29086765276779e+00	(1.41295204350152e+02dB,1.74551234978133e+02°)
2.30851836224278e+00	(1.41294600592868e+02dB,1.74509507838102e+02°)
2.32630506715364e+00	(1.41293987563213e+02dB,1.74467465096273e+02°)
2.34422881531994e+00	(1.41293365120245e+02dB,1.74425104457065e+02°)
2.36229066263448e+00	(1.41292733176610e+02dB,1.74382423573891e+02°)
2.38049167312553e+00	(1.41292091564842e+02dB,1.74339420135579e+02°)
2.39883291901951e+00	(1.41291440059662e+02dB,1.74296091853209e+02°)
2.41731548080412e+00	(1.41290778567234e+02dB,1.74252436336159e+02°)
2.43594044729205e+00	(1.41290107035988e+02dB,1.74208451148170e+02°)
2.45470891568505e+00	(1.41289425133826e+02dB,1.74164134023599e+02°)
2.47362199163864e+00	(1.41288732838027e+02dB,1.74119482474107e+02°)
2.49268078932720e+00	(1.41288029945470e+02dB,1.74074494115473e+02°)
2.51188643150960e+00	(1.41287316295204e+02dB,1.74029166518837e+02°)
2.53124004959538e+00	(1.41286591712775e+02dB,1.73983497248185e+02°)
2.55074278371138e+00	(1.41285856076920e+02dB,1.73937483813784e+02°)
2.57039578276888e+00	(1.41285109130481e+02dB,1.73891123804148e+02°)
2.59020020453134e+00	(1.41284350825077e+02dB,1.73844414644482e+02°)
2.61015721568256e+00	(1.41283580898562e+02dB,1.73797353893662e+02°)
2.63026799189540e+00	(1.41282799186302e+02dB,1.73749939025115e+02°)
2.65053371790110e+00	(1.41282005521065e+02dB,1.73702167497067e+02°)
2.67095558755901e+00	(1.41281199777417e+02dB,1.73654036719753e+02°)
2.69153480392694e+00	(1.41280381705056e+02dB,1.73605544177311e+02°)
2.71227257933205e+00	(1.41279551062135e+02dB,1.73556687331882e+02°)
2.73317013544226e+00	(1.41278707826135e+02dB,1.73507463465297e+02°)
2.75422870333819e+00	(1.41277851683059e+02dB,1.73457870058475e+02°)
2.77544952358573e+00	(1.41276982482642e+02dB,1.73407904453143e+02°)
2.79683384630910e+00	(1.41276099982974e+02dB,1.73357564043016e+02°)
2.81838293126448e+00	(1.41275204016938e+02dB,1.73306846147588e+02°)
2.84009804791424e+00	(1.41274294436633e+02dB,1.73255748053059e+02°)
2.86198047550173e+00	(1.41273370913740e+02dB,1.73204267168469e+02°)
2.88403150312663e+00	(1.41272433305476e+02dB,1.73152400741287e+02°)
2.90625242982089e+00	(1.41271481454869e+02dB,1.73100146011308e+02°)
2.92864456462526e+00	(1.41270515068831e+02dB,1.73047500308450e+02°)
2.95120922666641e+00	(1.41269533928756e+02dB,1.72994460886700e+02°)
2.97394774523463e+00	(1.41268537879303e+02dB,1.72941024930377e+02°)
2.99686145986215e+00	(1.41267526640051e+02dB,1.72887189707593e+02°)
3.01995172040204e+00	(1.41266499971638e+02dB,1.72832952435593e+02°)
3.04321988710775e+00	(1.41265457719944e+02dB,1.72778310243178e+02°)
3.06666733071321e+00	(1.41264399539316e+02dB,1.72723260400217e+02°)
3.09029543251362e+00	(1.41263325313108e+02dB,1.72667799967382e+02°)
3.11410558444679e+00	(1.41262234722041e+02dB,1.72611926157400e+02°)
3.13809918917516e+00	(1.41261127509759e+02dB,1.72555636112757e+02°)
3.16227766016841e+00	(1.41260003515857e+02dB,1.72498926874914e+02°)
3.18664242178676e+00	(1.41258862388393e+02dB,1.72441795632605e+02°)
3.21119490936485e+00	(1.41257703981797e+02dB,1.72384239377116e+02°)
3.23593656929631e+00	(1.41256527925805e+02dB,1.72326255278140e+02°)
3.26086885911897e+00	(1.41255333968003e+02dB,1.72267840385155e+02°)
3.28599324760069e+00	(1.41254121918410e+02dB,1.72208991672465e+02°)
3.31131121482594e+00	(1.41252891428633e+02dB,1.72149706238287e+02°)
3.33682425228298e+00	(1.41251642278878e+02dB,1.72089981047173e+02°)
3.36253386295166e+00	(1.41250374234317e+02dB,1.72029813057480e+02°)
3.38844156139206e+00	(1.41249086890711e+02dB,1.71969199366123e+02°)
3.41454887383364e+00	(1.41247780049352e+02dB,1.71908136862528e+02°)
3.44085733826517e+00	(1.41246453375107e+02dB,1.71846622544065e+02°)
3.46736850452535e+00	(1.41245106550795e+02dB,1.71784653374502e+02°)
3.49408393439410e+00	(1.41243739431261e+02dB,1.71722226134849e+02°)
3.52100520168456e+00	(1.41242351547658e+02dB,1.71659337896433e+02°)
3.54813389233579e+00	(1.41240942658159e+02dB,1.71595985496219e+02°)
3.57547160450625e+00	(1.41239512406475e+02dB,1.71532165863345e+02°)
3.60301994866789e+00	(1.41238060530949e+02dB,1.71467875816638e+02°)
3.63078054770105e+00	(1.41236586699418e+02dB,1.71403112225567e+02°)
3.65875503699007e+00	(1.41235090586202e+02dB,1.71337871935266e+02°)
3.68694506451962e+00	(1.41233571872024e+02dB,1.71272151766413e+02°)
3.71535229097177e+00	(1.41232030189031e+02dB,1.71205948571072e+02°)
3.74397838982385e+00	(1.41230465274499e+02dB,1.71139259076171e+02°)
3.77282504744704e+00	(1.41228876608429e+02dB,1.71072080254738e+02°)
3.80189396320565e+00	(1.41227264061205e+02dB,1.71004408660442e+02°)
3.83118684955733e+00	(1.41225627136123e+02dB,1.70936241207863e+02°)
3.86070543215386e+00	(1.41223965551008e+02dB,1.70867574571390e+02°)
3.89045144994285e+00	(1.41222278898034e+02dB,1.70798405539191e+02°)
3.92042665527020e+00	(1.41220566830115e+02dB,1.70728730818006e+02°)
3.95063281398328e+00	(1.41218828973121e+02dB,1.70658547125738e+02°)
3.98107170553502e+00	(1.41217064958687e+02dB,1.70587851156410e+02°)
4.01174512308867e+00	(1.41215274336615e+02dB,1.70516639676508e+02°)
4.04265487362349e+00	(1.41213456782744e+02dB,1.70444909297631e+02°)
4.07380277804118e+00	(1.41211611923711e+02dB,1.70372656666772e+02°)
