Freq.	V(y)/V(x)
1.00000000000000e+01	(7.33510230111284e+01dB,9.08581665910861e+01°)
1.00770481413610e+01	(7.32843731699430e+01dB,9.08644274512471e+01°)
1.01546899243308e+01	(7.32177235887030e+01dB,9.08707392233663e+01°)
1.02329299228075e+01	(7.31510742714344e+01dB,9.08771022789996e+01°)
1.03117727459306e+01	(7.30844252222260e+01dB,9.08835169923619e+01°)
1.03912230383517e+01	(7.30177764452280e+01dB,9.08899837414664e+01°)
1.04712854805090e+01	(7.29511279446569e+01dB,9.08965029065757e+01°)
1.05519647889024e+01	(7.28844797247927e+01dB,9.09030748716004e+01°)
1.06332657163716e+01	(7.28178317899818e+01dB,9.09097000235045e+01°)
1.07151930523761e+01	(7.27511841446384e+01dB,9.09163787521153e+01°)
1.07977516232771e+01	(7.26845367932441e+01dB,9.09231114506430e+01°)
1.08809462926223e+01	(7.26178897403505e+01dB,9.09298985154329e+01°)
1.09647819614319e+01	(7.25512429905788e+01dB,9.09367403459349e+01°)
1.10492635684876e+01	(7.24845965486230e+01dB,9.09436373445833e+01°)
1.11343960906236e+01	(7.24179504192479e+01dB,9.09505899176020e+01°)
1.12201845430196e+01	(7.23513046072925e+01dB,9.09575984742856e+01°)
1.13066339794964e+01	(7.22846591176712e+01dB,9.09646634269573e+01°)
1.13937494928134e+01	(7.22180139553743e+01dB,9.09717851913591e+01°)
1.14815362149688e+01	(7.21513691254678e+01dB,9.09789641870396e+01°)
1.15699993175021e+01	(7.20847246330980e+01dB,9.09862008360771e+01°)
1.16591440117983e+01	(7.20180804834898e+01dB,9.09934955645136e+01°)
1.17489755493953e+01	(7.19514366819483e+01dB,9.10008488017495e+01°)
1.18394992222930e+01	(7.18847932338617e+01dB,9.10082609804288e+01°)
1.19307203632654e+01	(7.18181501447004e+01dB,9.10157325369632e+01°)
1.20226443461741e+01	(7.17515074200204e+01dB,9.10232639108411e+01°)
1.21152765862859e+01	(7.16848650654630e+01dB,9.10308555453469e+01°)
1.22086225405907e+01	(7.16182230867566e+01dB,9.10385078873413e+01°)
1.23026877081238e+01	(7.15515814897188e+01dB,9.10462213869190e+01°)
1.23974776302895e+01	(7.14849402802561e+01dB,9.10539964982878e+01°)
