Record Length,700
Source,CH1,CH2
No.,Volt,Volt
1,16.799999,0.000000
2,17.200001,-0.200000
3,17.600000,0.000000
4,18.000000,0.000000
5,18.200001,0.000000
6,18.400000,-0.200000
7,18.600000,-0.200000
8,18.600000,0.000000
9,18.600000,-0.200000
10,18.600000,0.000000
11,18.799999,-0.200000
12,18.799999,0.000000
13,18.799999,-0.200000
14,19.000000,-0.200000
15,18.799999,0.000000
16,19.000000,-0.200000
17,19.000000,-0.200000
18,19.000000,0.000000
19,19.000000,0.000000
20,19.200001,-0.200000
21,19.200001,0.000000
22,19.200001,0.000000
23,19.000000,-0.200000
24,19.000000,-0.200000
25,19.000000,-0.200000
26,19.000000,-0.200000
27,19.000000,-0.200000
28,19.000000,-0.200000
29,19.200001,-0.200000
30,19.000000,0.000000
31,19.200001,0.000000
32,19.200001,-0.200000
33,19.200001,0.000000
34,19.200001,0.000000
35,19.000000,-0.200000
36,19.000000,0.000000
37,19.200001,-0.200000
38,19.200001,-0.200000
39,19.200001,0.000000
40,19.200001,0.000000
41,19.200001,0.000000
42,19.000000,0.000000
43,19.200001,-0.200000
44,19.000000,-0.200000
45,19.000000,0.000000
46,19.000000,0.000000
47,19.200001,-0.200000
48,19.000000,0.000000
49,19.000000,0.000000
50,19.000000,0.000000
51,19.200001,-0.200000
52,19.200001,0.000000
53,19.200001,-0.200000
54,19.200001,0.000000
55,19.200001,0.000000
56,19.200001,-0.200000
57,19.200001,-0.200000
58,19.200001,-0.200000
59,19.200001,-0.200000
60,19.200001,0.000000
61,19.200001,0.000000
62,19.200001,-0.200000
63,19.200001,0.000000
64,19.200001,0.000000
65,19.200001,0.000000
66,19.200001,0.000000
67,19.000000,0.000000
68,19.200001,-0.200000
69,19.000000,0.000000
70,19.000000,0.000000
71,19.000000,-0.200000
72,19.200001,-0.200000
73,19.000000,-0.200000
74,19.000000,0.000000
75,19.200001,0.000000
76,19.200001,0.000000
77,19.200001,0.000000
78,19.200001,-0.200000
79,19.200001,0.000000
80,19.200001,-0.200000
81,19.200001,0.000000
82,19.200001,0.000000
83,19.200001,-0.200000
84,19.200001,-0.200000
85,19.000000,-0.200000
86,19.000000,-0.200000
87,19.000000,-0.200000
88,19.000000,-0.200000
89,19.200001,-0.200000
90,19.000000,0.000000
91,19.200001,0.000000
92,19.000000,-0.200000
93,19.000000,-0.200000
94,19.200001,0.000000
95,19.000000,-0.200000
96,19.000000,-0.200000
97,19.200001,-0.200000
98,19.000000,-0.200000
99,19.200001,0.000000
100,19.000000,0.000000
101,19.000000,-0.200000
102,19.000000,-0.200000
103,19.200001,-0.200000
104,19.000000,-0.200000
105,19.000000,0.000000
106,19.200001,-0.200000
107,19.000000,-0.200000
108,19.200001,-0.200000
109,19.000000,-0.200000
110,19.000000,-0.200000
111,19.000000,-0.200000
112,19.200001,-0.200000
113,19.000000,-0.200000
114,19.200001,0.000000
115,19.000000,-0.200000
116,19.000000,-0.200000
117,19.000000,0.000000
118,19.200001,0.000000
119,19.000000,-0.200000
120,19.000000,-0.200000
121,19.200001,-0.200000
122,19.000000,0.000000
123,19.200001,-0.200000
124,19.200001,0.000000
125,19.000000,0.000000
126,19.000000,-0.200000
127,19.000000,-0.200000
128,19.000000,0.000000
129,19.000000,-0.200000
130,19.000000,-0.200000
131,19.000000,-0.200000
132,19.000000,-0.200000
133,19.200001,0.000000
134,17.000000,0.000000
135,15.800000,0.000000
