time	V(vo)
0.000000000000000e+00	6.641469e-13
1.880146728228652e-14	8.501339e-13
4.034099076894669e-14	1.063206e-12
8.342003774226704e-14	1.489350e-12
1.507802788596965e-13	2.155686e-12
2.656379798454415e-13	3.291869e-12
4.764948995827208e-13	5.377674e-12
7.314234840787880e-13	7.899423e-12
1.038924406122105e-12	1.094119e-11
1.426080843619432e-12	1.477086e-11
1.942875573625073e-12	1.988282e-11
2.749752204832229e-12	2.786401e-11
3.558329986749266e-12	3.586187e-11
4.308733865847150e-12	4.328414e-11
5.061354210465598e-12	5.072815e-11
6.355142325903921e-12	6.352424e-11
8.942718556780568e-12	8.911481e-11
1.308606183608588e-11	1.300872e-10
1.998793815916222e-11	1.983248e-10
3.379169080531489e-11	3.347602e-10
5.056175860322398e-11	5.004684e-10
5.288519959009827e-11	5.234206e-10
5.753208156384684e-11	5.693175e-10
5.869380205728399e-11	5.807909e-10
6.101724304415828e-11	6.037358e-10
6.566412501790686e-11	6.496212e-10
7.220176733567594e-11	7.141679e-10
7.940527694964687e-11	7.852757e-10
8.893386289865273e-11	8.793138e-10
9.971590649188021e-11	9.856921e-10
1.161355730705110e-10	1.147636e-09
1.341351332566439e-10	1.325090e-09
1.529776917179408e-10	1.510770e-09
1.732422738631617e-10	1.710343e-09
2.137714381536035e-10	2.109170e-09
2.662027653563721e-10	2.624538e-09
3.391852889792469e-10	3.340739e-09
4.456118767912886e-10	4.382807e-09
5.869266444519252e-10	5.763365e-09
6.436848123125208e-10	6.316675e-09
6.974902932911242e-10	6.840273e-09
7.432321479162812e-10	7.284862e-09
7.913511419055104e-10	7.751881e-09
8.875891298839690e-10	8.684674e-09
9.225294053550380e-10	9.022910e-09
9.561293376591687e-10	9.347800e-09
9.845000241728958e-10	9.621920e-09
1.014340264309116e-09	9.910043e-09
1.038426034531382e-09	1.014245e-08
1.064598507964267e-09	1.039483e-08
1.098977701668073e-09	1.072604e-08
1.167736089075686e-09	1.138743e-08
1.305252863890911e-09	1.270622e-08
1.580286413521361e-09	1.532952e-08
2.028349322076318e-09	1.957117e-08
2.459272263615537e-09	2.361076e-08
2.996846428994921e-09	2.859245e-08
3.576330265722420e-09	3.389147e-08
4.357588725570874e-09	4.092266e-08
5.269601248211996e-09	4.896676e-08
6.602398625601642e-09	6.042536e-08
8.216412771985793e-09	7.386180e-08
1.032960145257945e-08	9.075541e-08
1.298294826381521e-08	1.111100e-07
1.461975968245428e-08	1.231889e-07
1.595497119177908e-08	1.327422e-07
1.663164983667073e-08	1.374929e-07
1.698320663669285e-08	1.399302e-07
