Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000020000000,,Second,Volt
Vertical Units,CH1:V,,-0.02047999948,9.40000,
Vertical Scale,CH1:5.00,,-0.02047800086,9.40000,
Vertical Offset,CH1:0.00,,-0.02047600038,9.40000,
Horizontal Units,s,,-0.02047399990,9.40000,
Horizontal Scale,0.0010000000,,-0.02047199942,9.60000,
Model Number,SDS1072CML+,,-0.02047000080,9.40000,
Serial Number,SDS10BA3163350,,-0.02046800032,9.40000,
Software Version,6.01.01.16,,-0.02046599984,9.40000,
,,,-0.02046399936,9.60000,
,,,-0.02046200074,9.40000,
,,,-0.02046000026,9.40000,
,,,-0.02045799978,9.40000,
,,,-0.02045599930,9.60000,
,,,-0.02045400068,9.40000,
,,,-0.02045200020,9.60000,
,,,-0.02044999972,9.40000,
,,,-0.02044799924,9.40000,
,,,-0.02044600062,9.40000,
,,,-0.02044400014,9.40000,
,,,-0.02044199966,9.40000,
,,,-0.02043999918,9.60000,
,,,-0.02043800056,9.40000,
,,,-0.02043600008,9.60000,
,,,-0.02043399960,9.40000,
,,,-0.02043199912,9.40000,
,,,-0.02043000050,9.40000,
,,,-0.02042800002,9.80000,
,,,-0.02042599954,9.60000,
,,,-0.02042399906,9.40000,
,,,-0.02042200044,9.40000,
,,,-0.02041999996,9.40000,
,,,-0.02041799948,9.60000,
,,,-0.02041600086,9.40000,
,,,-0.02041400038,9.40000,
,,,-0.02041199990,9.40000,
,,,-0.02040999942,9.40000,
,,,-0.02040800080,9.40000,
,,,-0.02040600032,9.40000,
,,,-0.02040399984,9.40000,
,,,-0.02040199935,9.40000,
,,,-0.02040000074,9.80000,
,,,-0.02039800026,9.40000,
,,,-0.02039599977,9.40000,
,,,-0.02039399929,9.40000,
,,,-0.02039200068,9.60000,
,,,-0.02039000019,9.40000,
,,,-0.02038799971,9.40000,
,,,-0.02038599923,9.40000,
,,,-0.02038400061,9.40000,
,,,-0.02038200013,9.40000,
,,,-0.02037999965,9.40000,
,,,-0.02037799917,9.40000,
,,,-0.02037600055,9.40000,
,,,-0.02037400007,9.40000,
,,,-0.02037199959,9.40000,
,,,-0.02036999911,9.40000,
,,,-0.02036800049,9.40000,
,,,-0.02036600001,9.80000,
,,,-0.02036399953,9.40000,
,,,-0.02036199905,9.40000,
,,,-0.02036000043,9.40000,
,,,-0.02035799995,9.40000,
,,,-0.02035599947,9.40000,
,,,-0.02035400085,9.40000,
,,,-0.02035200037,9.40000,
,,,-0.02034999989,9.40000,
,,,-0.02034799941,9.40000,
,,,-0.02034600079,9.40000,
,,,-0.02034400031,9.40000,
,,,-0.02034199983,9.40000,
,,,-0.02033999935,9.80000,
,,,-0.02033800073,9.40000,
,,,-0.02033600025,9.40000,
,,,-0.02033399977,9.40000,
,,,-0.02033199929,9.60000,
,,,-0.02033000067,9.40000,
,,,-0.02032800019,9.40000,
,,,-0.02032599971,9.40000,
,,,-0.02032399923,9.40000,
,,,-0.02032200061,9.40000,
,,,-0.02032000013,9.40000,
,,,-0.02031799965,9.40000,
,,,-0.02031599917,9.40000,
,,,-0.02031400055,9.40000,
,,,-0.02031200007,9.40000,
,,,-0.02030999959,9.40000,
,,,-0.02030799910,9.40000,
,,,-0.02030600049,9.40000,
,,,-0.02030400001,9.40000,
,,,-0.02030199952,9.40000,
,,,-0.02029999904,9.40000,
,,,-0.02029800043,9.40000,
,,,-0.02029599994,9.40000,
,,,-0.02029399946,9.40000,
,,,-0.02029200085,9.20000,
,,,-0.02029000036,9.60000,
,,,-0.02028799988,9.40000,
,,,-0.02028599940,9.40000,
,,,-0.02028400078,9.40000,
,,,-0.02028200030,9.40000,
,,,-0.02027999982,9.40000,
,,,-0.02027799934,9.40000,
,,,-0.02027600072,9.40000,
,,,-0.02027400024,9.40000,
,,,-0.02027199976,9.20000,
,,,-0.02026999928,9.40000,
,,,-0.02026800066,9.40000,
,,,-0.02026600018,9.60000,
,,,-0.02026399970,9.40000,
,,,-0.02026199922,9.40000,
,,,-0.02026000060,9.40000,
,,,-0.02025800012,9.80000,
,,,-0.02025599964,9.80000,
,,,-0.02025399916,9.40000,
,,,-0.02025200054,9.40000,
,,,-0.02025000006,9.60000,
,,,-0.02024799958,9.40000,
,,,-0.02024599910,9.60000,
,,,-0.02024400048,9.40000,
,,,-0.02024200000,9.40000,
,,,-0.02023999952,9.40000,
,,,-0.02023799904,9.60000,
,,,-0.02023600042,9.40000,
,,,-0.02023399994,9.40000,
,,,-0.02023199946,9.40000,
,,,-0.02023000084,9.40000,
,,,-0.02022800036,9.40000,
,,,-0.02022599988,9.40000,
,,,-0.02022399940,9.40000,
,,,-0.02022200078,9.40000,
,,,-0.02022000030,9.40000,
,,,-0.02021799982,9.40000,
,,,-0.02021599934,9.40000,
,,,-0.02021400072,9.40000,
,,,-0.02021200024,9.40000,
,,,-0.02020999976,9.20000,
,,,-0.02020799927,9.60000,
,,,-0.02020600066,9.40000,
,,,-0.02020400017,9.40000,
,,,-0.02020199969,9.40000,
,,,-0.02019999921,9.40000,
,,,-0.02019800059,9.40000,
,,,-0.02019600011,9.40000,
,,,-0.02019399963,9.40000,
,,,-0.02019199915,9.40000,
,,,-0.02019000053,9.40000,
,,,-0.02018800005,9.60000,
,,,-0.02018599957,9.40000,
,,,-0.02018399909,9.40000,
,,,-0.02018200047,9.80000,
,,,-0.02017999999,9.40000,
,,,-0.02017799951,9.60000,
,,,-0.02017599903,9.40000,
,,,-0.02017400041,9.20000,
,,,-0.02017199993,9.40000,
,,,-0.02016999945,9.60000,
,,,-0.02016800083,9.80000,
,,,-0.02016600035,9.40000,
,,,-0.02016399987,9.40000,
,,,-0.02016199939,9.40000,
,,,-0.02016000077,9.40000,
,,,-0.02015800029,9.40000,
