time	V(n053)
0.000000000000000e+00	5.019554e+00
2.000000000335067e-08	5.019420e+00
6.000000001005201e-08	5.019153e+00
1.400000000095769e-07	5.018616e+00
2.000000000057511e-07	5.018214e+00
2.000001000090901e-07	5.018214e+00
2.000003000157680e-07	5.018214e+00
2.000004950680756e-07	5.018214e+00
2.000006860819470e-07	5.018214e+00
2.000008852837132e-07	5.018214e+00
2.000010000113850e-07	5.018214e+00
2.000010342756431e-07	5.018214e+00
2.000011028041593e-07	5.018214e+00
2.000012398750695e-07	5.018214e+00
2.000015140030120e-07	5.018214e+00
2.000020622588972e-07	5.018214e+00
2.000027423815220e-07	5.018214e+00
2.000035999316641e-07	5.018214e+00
2.000046438466185e-07	5.018214e+00
2.000061580520462e-07	5.018214e+00
2.000080487618572e-07	5.018213e+00
2.000106292254777e-07	5.018213e+00
2.000140913727133e-07	5.018213e+00
2.000175921418323e-07	5.018213e+00
2.000216044323322e-07	5.018213e+00
2.000255001494144e-07	5.018213e+00
2.000290077602829e-07	5.018213e+00
2.000328339080149e-07	5.018213e+00
2.000364218296413e-07	5.018213e+00
2.000412041708310e-07	5.018213e+00
2.000463318885259e-07	5.018213e+00
2.000528157158898e-07	5.018213e+00
2.000601243695721e-07	5.018213e+00
2.000698892945518e-07	5.018213e+00
2.000819951802901e-07	5.018213e+00
2.000997619544531e-07	5.018213e+00
2.001253680272708e-07	5.018213e+00
2.001702741893929e-07	5.018213e+00
2.002400274897509e-07	5.018213e+00
2.003325367677666e-07	5.018212e+00
2.004485325779459e-07	5.018212e+00
2.006145989608132e-07	5.018211e+00
2.008768202749200e-07	5.018210e+00
2.012006679041889e-07	5.018209e+00
2.015761345064426e-07	5.018208e+00
2.020660717916289e-07	5.018207e+00
2.027976667290377e-07	5.018204e+00
2.040451024115653e-07	5.018200e+00
2.065399737904983e-07	5.018191e+00
2.102193626396520e-07	5.018179e+00
2.150950251939010e-07	5.018162e+00
2.214327810834416e-07	5.018141e+00
2.293944534187409e-07	5.018114e+00
2.347555108500599e-07	5.018095e+00
2.404798105093420e-07	5.018076e+00
2.455074266521917e-07	5.018059e+00
2.506609248914549e-07	5.018041e+00
2.599823399479506e-07	5.018010e+00
2.724493922412474e-07	5.017967e+00
2.926866973784747e-07	5.017898e+00
3.200825139382246e-07	5.017805e+00
3.418540071714604e-07	5.017730e+00
3.445196834900299e-07	5.017721e+00
3.498510361271689e-07	5.017703e+00
3.605137414014470e-07	5.017666e+00
3.818391519500031e-07	5.017592e+00
4.092653378140465e-07	5.017498e+00
4.481383646809389e-07	5.017365e+00
4.839775471360275e-07	5.017241e+00
5.400789171022824e-07	5.017046e+00
6.074995579086195e-07	5.016811e+00
6.593663508663861e-07	5.016630e+00
6.914223939086250e-07	5.016518e+00
7.228673377240868e-07	5.016407e+00
7.595082612693593e-07	5.016278e+00
7.841112750900381e-07	5.016191e+00
8.107672990753656e-07	5.016097e+00
8.472373366485986e-07	5.015968e+00
8.873576662071780e-07	5.015826e+00
9.474954094090826e-07	5.015612e+00
1.002254788579071e-06	5.015416e+00
1.090610966106298e-06	5.015099e+00
1.153563746733588e-06	5.014872e+00
1.231515044039511e-06	5.014589e+00
1.310073810933954e-06	5.014303e+00
1.428698241809356e-06	5.013869e+00
1.552345822691814e-06	5.013412e+00
1.750949303144789e-06	5.012673e+00
1.971007451875839e-06	5.011844e+00
2.308897668196197e-06	5.010551e+00
2.672883218174382e-06	5.009138e+00
2.904489368307783e-06	5.008227e+00
3.047883826642894e-06	5.007658e+00
3.157490946231745e-06	5.007219e+00
3.223861828785535e-06	5.006953e+00
3.287645481728219e-06	5.006696e+00
3.351582036001388e-06	5.006437e+00
3.443536647468326e-06	5.006064e+00
3.599791839656308e-06	5.005427e+00
3.828378127804233e-06	5.004488e+00
3.943604313799698e-06	5.004012e+00
3.997964022381395e-06	5.003788e+00
4.032038901993773e-06	5.003647e+00
4.063726331091089e-06	5.003519e+00
4.097089513238616e-06	5.003387e+00
4.136206553401189e-06	5.003240e+00
4.176379677867104e-06	5.003097e+00
4.219512466582809e-06	5.002956e+00
4.270835842937193e-06	5.002809e+00
4.330872410099329e-06	5.002669e+00
4.409574656721871e-06	5.002547e+00
4.514791433041232e-06	5.002510e+00
4.664505443036093e-06	5.002766e+00
4.891194333528359e-06	5.003871e+00
5.186903557385936e-06	5.006424e+00
5.504075549653265e-06	5.010154e+00
5.872747421462043e-06	5.014947e+00
6.372747421462543e-06	5.021160e+00
6.872747421463044e-06	5.026707e+00
7.372747421463544e-06	5.031618e+00
7.657704938657250e-06	5.034141e+00
7.871788623187159e-06	5.035895e+00
7.971439309639727e-06	5.036670e+00
8.100729552470987e-06	5.037636e+00
8.231408763464954e-06	5.038579e+00
8.350048576202806e-06	5.039402e+00
8.539586274100563e-06	5.040657e+00
8.744406256325221e-06	5.041935e+00
9.056558059120090e-06	5.043724e+00
9.503523476228626e-06	5.046018e+00
1.000352347622913e-05	5.048248e+00
1.050352347622963e-05	5.050152e+00
1.091367023753342e-05	5.051484e+00
1.122707378684029e-05	5.052371e+00
