time	V(n023)
0.000000000000000e+00	5.010018e+00
9.999999994736442e-10	5.010018e+00
2.999999998420932e-09	5.010018e+00
1.000000000861423e-08	5.010018e+00
1.000010001195317e-08	5.010018e+00
1.000030001863106e-08	5.010018e+00
1.000049507093870e-08	5.010018e+00
1.000071112033929e-08	5.010019e+00
1.000100001424808e-08	5.010019e+00
1.000103463932867e-08	5.010019e+00
1.000110390336761e-08	5.010019e+00
1.000124241756772e-08	5.010019e+00
1.000151944596794e-08	5.010019e+00
1.000207350276838e-08	5.010019e+00
1.000278238016961e-08	5.010019e+00
1.000365887349197e-08	5.010019e+00
1.000473742740482e-08	5.010020e+00
1.000625754477014e-08	5.010020e+00
1.000819065122283e-08	5.010021e+00
1.001082031160117e-08	5.010021e+00
1.001433713732069e-08	5.010022e+00
1.001782723442091e-08	5.010023e+00
1.002189387033781e-08	5.010023e+00
1.002579670672521e-08	5.010024e+00
1.002929939097896e-08	5.010025e+00
1.003309837988020e-08	5.010026e+00
1.003675814681415e-08	5.010026e+00
1.004157304529407e-08	5.010027e+00
1.004680745542164e-08	5.010028e+00
1.005377227303317e-08	5.010029e+00
1.006194992603238e-08	5.010030e+00
1.007394558050212e-08	5.010032e+00
1.009134167895276e-08	5.010035e+00
1.012613387585404e-08	5.010040e+00
1.017585474216709e-08	5.010047e+00
1.023900308982917e-08	5.010054e+00
1.035759247813850e-08	5.010065e+00
1.053070795842270e-08	5.010077e+00
1.082936698648673e-08	5.010091e+00
1.115343713220529e-08	5.010101e+00
1.150680974115748e-08	5.010108e+00
1.195035966017333e-08	5.010114e+00
1.265758638180348e-08	5.010121e+00
1.376902072913744e-08	5.010130e+00
1.599188943768315e-08	5.010145e+00
1.950372015280255e-08	5.010166e+00
2.412483823821532e-08	5.010193e+00
3.020125773078863e-08	5.010226e+00
3.914623580847376e-08	5.010273e+00
5.563560256938160e-08	5.010355e+00
7.414035822772558e-08	5.010444e+00
1.111498695582913e-07	5.010609e+00
1.851688922194228e-07	5.010907e+00
2.711757407236615e-07	5.011205e+00
3.674769138567457e-07	5.011478e+00
4.674769138596213e-07	5.011703e+00
5.674769138624969e-07	5.011875e+00
6.674769138653724e-07	5.012001e+00
7.674769138682480e-07	5.012087e+00
8.674769138711236e-07	5.012140e+00
9.674769138739991e-07	5.012166e+00
1.067476913876875e-06	5.012170e+00
1.167476913879750e-06	5.012156e+00
1.267476913882626e-06	5.012128e+00
1.367476913885501e-06	5.012089e+00
1.467476913888377e-06	5.012042e+00
1.567476913891253e-06	5.011989e+00
1.667476913894128e-06	5.011933e+00
1.767476913897004e-06	5.011875e+00
1.867476913899879e-06	5.011816e+00
1.967476913902755e-06	5.011757e+00
2.067476913905630e-06	5.011699e+00
2.167476913908506e-06	5.011644e+00
2.267476913911382e-06	5.011591e+00
2.367476913914257e-06	5.011540e+00
2.467476913917133e-06	5.011494e+00
2.567476913920008e-06	5.011449e+00
2.667476913922884e-06	5.011409e+00
2.767476913925759e-06	5.011371e+00
2.867476913928635e-06	5.011337e+00
2.967476913931510e-06	5.011306e+00
3.067476913934386e-06	5.011278e+00
3.167476913937262e-06	5.011253e+00
3.267476913940137e-06	5.011231e+00
3.367476913943013e-06	5.011211e+00
3.467476913945888e-06	5.011195e+00
3.567476913948764e-06	5.011180e+00
3.667476913951639e-06	5.011167e+00
3.767476913954515e-06	5.011157e+00
3.867476913957391e-06	5.011148e+00
3.967476913960266e-06	5.011141e+00
4.067476913963142e-06	5.011135e+00
4.167476913966017e-06	5.011131e+00
4.267476913968893e-06	5.011127e+00
4.367476913971768e-06	5.011126e+00
4.467476913974644e-06	5.011125e+00
4.567476913977520e-06	5.011125e+00
4.667476913980395e-06	5.011125e+00
4.767476913983271e-06	5.011127e+00
4.867476913986146e-06	5.011128e+00
4.967476913989022e-06	5.011131e+00
5.067476913991897e-06	5.011134e+00
5.167476913994773e-06	5.011137e+00
5.267476913997649e-06	5.011141e+00
5.367476914000524e-06	5.011145e+00
5.467476914003400e-06	5.011149e+00
5.567476914006275e-06	5.011153e+00
5.667476914009151e-06	5.011158e+00
5.767476914012026e-06	5.011162e+00
5.867476914014902e-06	5.011167e+00
5.967476914017777e-06	5.011172e+00
6.067476914020653e-06	5.011177e+00
6.167476914023529e-06	5.011181e+00
