time	V(n054)
0.000000000000000e+00	5.908699e+00
2.000000000335067e-08	5.906504e+00
6.000000001005201e-08	5.902102e+00
1.400000000095769e-07	5.893261e+00
2.000000000057511e-07	5.886606e+00
2.000001000090901e-07	5.886606e+00
2.000003000157680e-07	5.886606e+00
2.000004944019418e-07	5.886606e+00
2.000006852354019e-07	5.886606e+00
2.000008840902234e-07	5.886606e+00
2.000010000113850e-07	5.886606e+00
2.000010341368652e-07	5.886606e+00
2.000011024017034e-07	5.886606e+00
2.000012389175021e-07	5.886606e+00
2.000015119629772e-07	5.886606e+00
2.000020580539275e-07	5.886606e+00
2.000027254367431e-07	5.886606e+00
2.000035748128681e-07	5.886607e+00
2.000046100958386e-07	5.886607e+00
2.000061264106900e-07	5.886607e+00
2.000079996761217e-07	5.886607e+00
2.000105657345985e-07	5.886608e+00
2.000140055247179e-07	5.886608e+00
2.000175244043501e-07	5.886609e+00
2.000215170577802e-07	5.886609e+00
2.000254156198089e-07	5.886609e+00
2.000289266723687e-07	5.886610e+00
2.000327603834950e-07	5.886610e+00
2.000363279464068e-07	5.886610e+00
2.000411012670344e-07	5.886611e+00
2.000461998552527e-07	5.886611e+00
2.000530700124736e-07	5.886611e+00
2.000606736662913e-07	5.886611e+00
2.000708686084041e-07	5.886612e+00
2.000834941201513e-07	5.886613e+00
2.001023218234366e-07	5.886614e+00
2.001282192604092e-07	5.886615e+00
2.001671915857761e-07	5.886616e+00
2.002155309183129e-07	5.886616e+00
2.002814151330634e-07	5.886616e+00
2.003702123248852e-07	5.886615e+00
2.005198111859618e-07	5.886609e+00
2.007894692179768e-07	5.886592e+00
2.011154392328462e-07	5.886567e+00
2.014604669892117e-07	5.886537e+00
2.019025269334174e-07	5.886494e+00
2.025426971974387e-07	5.886428e+00
2.036345921607730e-07	5.886313e+00
2.056873359967959e-07	5.886095e+00
2.091329150133436e-07	5.885725e+00
2.138233769488629e-07	5.885221e+00
2.195629999340865e-07	5.884604e+00
2.284074682723514e-07	5.883652e+00
2.385297005191855e-07	5.882561e+00
2.507150654168511e-07	5.881248e+00
2.664769667565237e-07	5.879546e+00
2.852421939064653e-07	5.877517e+00
3.079322912213911e-07	5.875059e+00
3.448316036325227e-07	5.871049e+00
3.855959874038417e-07	5.866605e+00
4.459611402524155e-07	5.859989e+00
5.610558339586014e-07	5.847273e+00
7.302145531434823e-07	5.828360e+00
9.963512281052633e-07	5.798134e+00
1.304431420212637e-06	5.762464e+00
1.726446464636600e-06	5.712556e+00
2.166658209332151e-06	5.659546e+00
2.367409011633237e-06	5.635018e+00
2.531271019401427e-06	5.614808e+00
2.596827035322713e-06	5.606683e+00
2.660738243981386e-06	5.598733e+00
2.754299709972763e-06	5.587063e+00
2.828428376525083e-06	5.577798e+00
2.832642509512096e-06	5.577271e+00
2.841070775499999e-06	5.576215e+00
2.857927307461927e-06	5.574102e+00
2.886690672984638e-06	5.570493e+00
2.927533875290989e-06	5.565364e+00
2.966331168016700e-06	5.560485e+00
3.014728220507301e-06	5.554390e+00
3.081473960248049e-06	5.545969e+00
3.163449807552787e-06	5.535604e+00
3.252083340579692e-06	5.524371e+00
3.325099737258586e-06	5.515098e+00
3.369529461852427e-06	5.509447e+00
3.396746593054001e-06	5.505980e+00
3.419275314414660e-06	5.503109e+00
