time	V(n055)
0.000000000000000e+00	5.516971e+00
2.000000000335067e-08	5.514378e+00
6.000000001005201e-08	5.509187e+00
1.400000000095769e-07	5.498794e+00
2.000000000057511e-07	5.490991e+00
2.000001000090901e-07	5.490991e+00
2.000003000157680e-07	5.490991e+00
2.000004944019418e-07	5.490991e+00
2.000006852354019e-07	5.490991e+00
2.000008840902234e-07	5.490991e+00
2.000010000113850e-07	5.490991e+00
2.000010341368652e-07	5.490991e+00
2.000011024017034e-07	5.490991e+00
2.000012389175021e-07	5.490990e+00
2.000015119629772e-07	5.490990e+00
2.000020580539275e-07	5.490990e+00
2.000027254367431e-07	5.490990e+00
2.000035748128681e-07	5.490990e+00
2.000046100958386e-07	5.490990e+00
2.000061264106900e-07	5.490990e+00
2.000079996761217e-07	5.490990e+00
2.000105657345985e-07	5.490989e+00
2.000140055247179e-07	5.490989e+00
2.000175244043501e-07	5.490988e+00
2.000215170577802e-07	5.490988e+00
2.000254156198089e-07	5.490987e+00
2.000289266723687e-07	5.490987e+00
2.000327603834950e-07	5.490986e+00
2.000363279464068e-07	5.490986e+00
2.000411012670344e-07	5.490985e+00
2.000461998552527e-07	5.490984e+00
2.000530700124736e-07	5.490984e+00
2.000606736662913e-07	5.490983e+00
2.000708686084041e-07	5.490982e+00
2.000834941201513e-07	5.490980e+00
2.001023218234366e-07	5.490977e+00
2.001282192604092e-07	5.490974e+00
2.001671915857761e-07	5.490969e+00
2.002155309183129e-07	5.490963e+00
2.002814151330634e-07	5.490954e+00
2.003702123248852e-07	5.490942e+00
2.005198111859618e-07	5.490923e+00
2.007894692179768e-07	5.490888e+00
2.011154392328462e-07	5.490846e+00
2.014604669892117e-07	5.490801e+00
2.019025269334174e-07	5.490743e+00
2.025426971974387e-07	5.490660e+00
2.036345921607730e-07	5.490518e+00
2.056873359967959e-07	5.490251e+00
2.091329150133436e-07	5.489803e+00
2.138233769488629e-07	5.489192e+00
2.195629999340865e-07	5.488445e+00
2.284074682723514e-07	5.487293e+00
2.385297005191855e-07	5.485974e+00
2.507150654168511e-07	5.484386e+00
2.664769667565237e-07	5.482331e+00
2.852421939064653e-07	5.479884e+00
3.079322912213911e-07	5.476923e+00
3.448316036325227e-07	5.472106e+00
3.855959874038417e-07	5.466779e+00
4.459611402524155e-07	5.458880e+00
5.610558339586014e-07	5.443794e+00
7.302145531434823e-07	5.421563e+00
9.963512281052633e-07	5.386472e+00
1.304431420212637e-06	5.345709e+00
1.726446464636600e-06	5.289712e+00
2.166658209332151e-06	5.231220e+00
2.367409011633237e-06	5.204535e+00
2.531271019401427e-06	5.182751e+00
2.596827035322713e-06	5.174032e+00
2.660738243981386e-06	5.165530e+00
2.754299709972763e-06	5.153081e+00
2.828428376525083e-06	5.143218e+00
2.832642509512096e-06	5.142657e+00
2.841070775499999e-06	5.141538e+00
2.857927307461927e-06	5.139357e+00
2.886690672984638e-06	5.135991e+00
2.927533875290989e-06	5.132142e+00
2.966331168016700e-06	5.129761e+00
3.014728220507301e-06	5.129006e+00
3.081473960248049e-06	5.132426e+00
3.163449807552787e-06	5.144762e+00
3.252083340579692e-06	5.169209e+00
3.325099737258586e-06	5.198538e+00
3.369529461852427e-06	5.220923e+00
3.396746593054001e-06	5.236483e+00
3.419275314414660e-06	5.250294e+00
3.444953836709286e-06	5.266764e+00
3.478797349437679e-06	5.289032e+00
3.509643448140753e-06	5.309387e+00
3.531532617215283e-06	5.323635e+00
3.554534618741001e-06	5.338390e+00
3.566259659984472e-06	5.345842e+00
3.577748679872705e-06	5.353085e+00
3.595558112273745e-06	5.364217e+00
3.622655193338820e-06	5.380965e+00
3.655978496761025e-06	5.401309e+00
3.675222738169781e-06	5.412912e+00
3.694276240626126e-06	5.424282e+00
3.702973189065317e-06	5.429430e+00
3.715143218660510e-06	5.436588e+00
3.723640065109168e-06	5.441561e+00
3.733508656719731e-06	5.447307e+00
3.743675781223144e-06	5.453198e+00
3.754711923306675e-06	5.459556e+00
3.768018639174753e-06	5.467174e+00
3.784058155362202e-06	5.476282e+00
3.807797608210151e-06	5.489631e+00
3.832960541377828e-06	5.503593e+00
3.873647214130971e-06	5.525801e+00
3.915529704690002e-06	5.548122e+00
3.999294685794186e-06	5.590962e+00
4.166824648002554e-06	5.671776e+00
4.347570254747968e-06	5.751698e+00
4.624495455476940e-06	5.859888e+00
5.004078629897157e-06	5.986940e+00
5.405629555269020e-06	6.097009e+00
5.905629555269520e-06	6.204595e+00
6.405629555270020e-06	6.285927e+00
6.905629555270520e-06	6.346154e+00
7.180770931120017e-06	6.371031e+00
7.365983426904643e-06	6.384189e+00
7.452978287830758e-06	6.389445e+00
7.538620952790565e-06	6.394017e+00
7.623827581057507e-06	6.398149e+00
7.687114815066454e-06	6.400949e+00
7.738114186195411e-06	6.403021e+00
7.787167863662625e-06	6.404858e+00
7.847501860752670e-06	6.406929e+00
7.910669674413007e-06	6.408885e+00
7.982931180053332e-06	6.410838e+00
8.082983116386444e-06	6.413107e+00
8.180843324837039e-06	6.414918e+00
8.238750426714514e-06	6.415773e+00
8.284046250056631e-06	6.416308e+00
8.323803460982826e-06	6.416698e+00
8.349226066226012e-06	6.416907e+00
8.375004938540598e-06	6.417088e+00
8.387770571841036e-06	6.417165e+00
8.401328899190763e-06	6.417237e+00
8.421027013372218e-06	6.417322e+00
8.458347117892839e-06	6.417441e+00
8.485865985230490e-06	6.417498e+00
8.503292247788452e-06	6.417515e+00
8.515051135887797e-06	6.417518e+00
8.524959009659216e-06	6.417515e+00
8.535414873084290e-06	6.417507e+00
8.545266515835870e-06	6.417495e+00
8.554975107488705e-06	6.417479e+00
8.566192699413500e-06	6.417455e+00
8.581897099416147e-06	6.417412e+00
8.599032807699025e-06	6.417353e+00
8.618749265484893e-06	6.417268e+00
8.650978210220095e-06	6.417093e+00
8.683645835297349e-06	6.416878e+00
8.709689211849891e-06	6.416675e+00
8.734622349709786e-06	6.416446e+00
8.781344209188302e-06	6.415944e+00
8.837853174570309e-06	6.415214e+00
8.925223721478748e-06	6.413817e+00
9.046702290863018e-06	6.411466e+00
9.129334072224826e-06	6.409578e+00
9.208443429040147e-06	6.407512e+00
9.280853712892445e-06	6.405421e+00
9.356324347759015e-06	6.403035e+00
9.444701518229737e-06	6.399998e+00
9.531719023556096e-06	6.396740e+00
9.652789956279828e-06	6.391853e+00
9.720731236437241e-06	6.388936e+00
9.771641412026355e-06	6.386642e+00
9.804522136946936e-06	6.385116e+00
9.834794947358172e-06	6.383681e+00
9.849683320503622e-06	6.382966e+00
9.864449969240741e-06	6.382247e+00
9.884423725486924e-06	6.381263e+00
9.918909862918768e-06	6.379537e+00
9.958710185678510e-06	6.377511e+00
9.983657016668368e-06	6.376219e+00
1.000406811450805e-05	6.375148e+00
1.001709827465336e-05	6.374458e+00
1.002895678760274e-05	6.373826e+00
1.004133114676509e-05	6.373161e+00
1.005326854071342e-05	6.372516e+00
1.006587783243529e-05	6.371830e+00
1.007979048239793e-05	6.371068e+00
1.009861663245348e-05	6.370028e+00
1.011970893823044e-05	6.368850e+00
1.016046496357670e-05	6.366540e+00
1.019799121695919e-05	6.364369e+00
1.027304372372417e-05	6.359893e+00
1.039704948796460e-05	6.352197e+00
1.054103707852361e-05	6.342729e+00
1.080464980014739e-05	6.324088e+00
1.113098270522084e-05	6.298877e+00
1.163098270522134e-05	6.256405e+00
1.213098270522184e-05	6.210009e+00
1.263098270522234e-05	6.159825e+00
1.313098270522284e-05	6.106374e+00
1.363098270522334e-05	6.050107e+00
1.413098270522384e-05	5.991421e+00
1.463098270522434e-05	5.930665e+00
1.513098270522484e-05	5.868145e+00
1.563098270522534e-05	5.804133e+00
1.613098270522584e-05	5.738870e+00
1.663098270522634e-05	5.672570e+00
1.713098270522684e-05	5.605423e+00
1.763098270522734e-05	5.537601e+00
1.813098270522784e-05	5.469259e+00
1.863098270522834e-05	5.400546e+00
1.913098270522884e-05	5.331625e+00
1.963098270522934e-05	5.262663e+00
1.995609714609825e-05	5.217872e+00
2.010440032554350e-05	5.197470e+00
2.022705047630136e-05	5.180609e+00
2.029277767021109e-05	5.171576e+00
2.035520549760472e-05	5.162997e+00
2.042471885460584e-05	5.153448e+00
2.049234565468239e-05	5.144199e+00
2.054531299477969e-05	5.137041e+00
2.055061263162017e-05	5.136349e+00
2.056121190531501e-05	5.135054e+00
2.058241045270470e-05	5.132763e+00
2.061806522581089e-05	5.129680e+00
2.065487704001889e-05	5.127723e+00
2.071415484339312e-05	5.127388e+00
2.077870732637710e-05	5.131631e+00
2.085924665642946e-05	5.146136e+00
2.096728331892062e-05	5.180083e+00
2.103388565571906e-05	5.209622e+00
2.106991071669506e-05	5.229279e+00
