r_l	V(vo)
Step Information: Param R_L 100 .001 .5=0  (Step: 1/1)
1.000000000000000e-03	9.669361e-03
5.009950000000000e-01	3.860307e+00
1.000990000000000e+00	4.964102e+00
1.500985000000000e+00	4.996727e+00
2.000980000000000e+00	5.005646e+00
2.500975000000000e+00	5.009443e+00
3.000970000000000e+00	5.011455e+00
3.500964999999999e+00	5.012672e+00
4.000960000000000e+00	5.013476e+00
4.500955000000000e+00	5.014041e+00
5.000950000000000e+00	5.014458e+00
5.500945000000000e+00	5.014776e+00
6.000940000000000e+00	5.015027e+00
6.500935000000000e+00	5.015229e+00
7.000929999999999e+00	5.015395e+00
7.500925000000000e+00	5.015534e+00
8.000919999999999e+00	5.015652e+00
8.500914999999999e+00	5.015753e+00
9.000909999999999e+00	5.015840e+00
9.500904999999999e+00	5.015917e+00
1.000090000000000e+01	5.015985e+00
1.050089500000000e+01	5.016045e+00
1.100089000000000e+01	5.016098e+00
1.150088500000000e+01	5.016147e+00
1.200088000000000e+01	5.016191e+00
1.250087500000000e+01	5.016231e+00
1.300087000000000e+01	5.016267e+00
1.350086500000000e+01	5.016301e+00
1.400086000000000e+01	5.016332e+00
1.450085500000000e+01	5.016360e+00
1.500085000000000e+01	5.016387e+00
1.550084500000000e+01	5.016411e+00
1.600084000000000e+01	5.016434e+00
1.650083500000000e+01	5.016456e+00
1.700083000000000e+01	5.016476e+00
1.750082500000000e+01	5.016494e+00
1.800082000000000e+01	5.016512e+00
1.850081500000000e+01	5.016529e+00
1.900081000000000e+01	5.016545e+00
1.950080500000000e+01	5.016560e+00
2.000080000000000e+01	5.016574e+00
2.050079500000000e+01	5.016588e+00
2.100079000000000e+01	5.016600e+00
2.150078500000000e+01	5.016613e+00
2.200078000000000e+01	5.016624e+00
2.250077500000000e+01	5.016635e+00
2.300077000000000e+01	5.016646e+00
2.350076500000000e+01	5.016656e+00
2.400076000000000e+01	5.016666e+00
2.450075500000000e+01	5.016675e+00
2.500075000000000e+01	5.016685e+00
2.550074500000000e+01	5.016693e+00
2.600074000000000e+01	5.016702e+00
2.650073500000000e+01	5.016710e+00
2.700073000000000e+01	5.016717e+00
2.750072500000000e+01	5.016725e+00
2.800072000000000e+01	5.016732e+00
2.850071500000000e+01	5.016739e+00
2.900071000000000e+01	5.016746e+00
2.950070500000000e+01	5.016752e+00
3.000070000000000e+01	5.016758e+00
3.050069500000000e+01	5.016765e+00
3.100069000000000e+01	5.016770e+00
3.150068500000000e+01	5.016776e+00
3.200068000000000e+01	5.016782e+00
3.250067499999999e+01	5.016788e+00
3.300066999999999e+01	5.016793e+00
3.350066500000000e+01	5.016798e+00
3.400066000000000e+01	5.016803e+00
3.450065499999999e+01	5.016808e+00
3.500064999999999e+01	5.016812e+00
3.550064500000000e+01	5.016817e+00
3.600064000000000e+01	5.016821e+00
3.650063500000000e+01	5.016826e+00
3.700062999999999e+01	5.016830e+00
3.750062499999999e+01	5.016834e+00
3.800062000000000e+01	5.016838e+00
3.850061500000000e+01	5.016842e+00
3.900060999999999e+01	5.016846e+00
3.950060499999999e+01	5.016850e+00
4.000060000000000e+01	5.016853e+00
4.050059500000000e+01	5.016857e+00
4.100059000000000e+01	5.016860e+00
4.150058499999999e+01	5.016864e+00
4.200057999999999e+01	5.016867e+00
4.250057500000000e+01	5.016870e+00
4.300057000000000e+01	5.016874e+00
4.350056499999999e+01	5.016877e+00
4.400055999999999e+01	5.016880e+00
4.450055499999999e+01	5.016883e+00
4.500055000000000e+01	5.016886e+00
4.550054500000000e+01	5.016889e+00
4.600053999999999e+01	5.016892e+00
4.650053499999999e+01	5.016895e+00
4.700053000000000e+01	5.016898e+00
4.750052500000000e+01	5.016900e+00
4.800051999999999e+01	5.016903e+00
4.850051499999999e+01	5.016905e+00
4.900050999999999e+01	5.016908e+00
4.950050500000000e+01	5.016911e+00
5.000050000000000e+01	5.016913e+00
5.050049499999999e+01	5.016915e+00
5.100048999999999e+01	5.016918e+00
5.150048500000000e+01	5.016920e+00
5.200048000000000e+01	5.016922e+00
5.250047499999999e+01	5.016925e+00
5.300046999999999e+01	5.016927e+00
5.350046499999999e+01	5.016929e+00
5.400046000000000e+01	5.016932e+00
5.450045500000000e+01	5.016933e+00
5.500044999999999e+01	5.016936e+00
5.550044499999999e+01	5.016938e+00
5.600043999999999e+01	5.016940e+00
5.650043500000000e+01	5.016942e+00
5.700042999999999e+01	5.016944e+00
5.750042499999999e+01	5.016946e+00
5.800041999999999e+01	5.016948e+00
5.850041500000000e+01	5.016950e+00
5.900041000000000e+01	5.016952e+00
5.950040499999999e+01	5.016953e+00
6.000039999999999e+01	5.016955e+00
6.050039499999999e+01	5.016957e+00
6.100039000000000e+01	5.016959e+00
6.150038499999999e+01	5.016961e+00
6.200037999999999e+01	5.016962e+00
6.250037499999999e+01	5.016964e+00
6.300037000000000e+01	5.016965e+00
6.350036500000000e+01	5.016967e+00
6.400036000000000e+01	5.016969e+00
6.450035500000000e+01	5.016970e+00
6.500035000000000e+01	5.016972e+00
6.550034500000000e+01	5.016973e+00
6.600033999999999e+01	5.016975e+00
6.650033500000001e+01	5.016976e+00
6.700033000000001e+01	5.016978e+00
6.750032500000000e+01	5.016980e+00
6.800032000000000e+01	5.016981e+00
6.850031500000000e+01	5.016983e+00
6.900031000000000e+01	5.016984e+00
6.950030500000000e+01	5.016985e+00
7.000030000000000e+01	5.016987e+00
7.050029499999999e+01	5.016988e+00
7.100029000000001e+01	5.016990e+00
7.150028500000001e+01	5.016991e+00
7.200028000000000e+01	5.016992e+00
7.250027500000000e+01	5.016994e+00
7.300027000000000e+01	5.016995e+00
7.350026500000000e+01	5.016996e+00
7.400026000000000e+01	5.016997e+00
7.450025500000000e+01	5.016999e+00
7.500024999999999e+01	5.017000e+00
7.550024500000001e+01	5.017001e+00
7.600024000000001e+01	5.017003e+00
7.650023500000000e+01	5.017004e+00
7.700023000000000e+01	5.017005e+00
7.750022500000000e+01	5.017006e+00
7.800022000000000e+01	5.017007e+00
7.850021500000000e+01	5.017008e+00
7.900021000000000e+01	5.017010e+00
7.950020499999999e+01	5.017011e+00
8.000020000000001e+01	5.017012e+00
8.050019500000001e+01	5.017013e+00
8.100019000000000e+01	5.017014e+00
8.150018500000000e+01	5.017015e+00
8.200018000000000e+01	5.017016e+00
8.250017500000000e+01	5.017017e+00
8.300017000000000e+01	5.017018e+00
8.350016500000000e+01	5.017019e+00
8.400015999999999e+01	5.017021e+00
8.450015499999999e+01	5.017022e+00
8.500015000000000e+01	5.017023e+00
8.550014500000000e+01	5.017024e+00
8.600014000000000e+01	5.017025e+00
8.650013500000000e+01	5.017025e+00
8.700013000000000e+01	5.017026e+00
8.750012500000000e+01	5.017027e+00
8.800012000000000e+01	5.017028e+00
8.850011499999999e+01	5.017029e+00
8.900010999999999e+01	5.017030e+00
8.950010500000000e+01	5.017031e+00
9.000010000000000e+01	5.017032e+00
9.050009500000000e+01	5.017033e+00
9.100009000000000e+01	5.017034e+00
9.150008500000000e+01	5.017035e+00
9.200008000000000e+01	5.017036e+00
9.250007500000000e+01	5.017037e+00
9.300006999999999e+01	5.017038e+00
9.350006499999999e+01	5.017039e+00
9.400006000000000e+01	5.017039e+00
9.450005500000000e+01	5.017040e+00
9.500005000000000e+01	5.017041e+00
9.550004500000000e+01	5.017042e+00
9.600004000000000e+01	5.017043e+00
9.650003500000000e+01	5.017044e+00
9.700003000000000e+01	5.017045e+00
9.750002499999999e+01	5.017045e+00
9.800001999999999e+01	5.017046e+00
9.850001500000000e+01	5.017047e+00
9.900001000000000e+01	5.017048e+00
9.950000500000000e+01	5.017049e+00
1.000000000000000e+02	5.017049e+00
