time	V(n024)
0.000000000000000e+00	5.010478e+00
9.999999994736442e-09	5.010478e+00
2.999999999808711e-08	5.010478e+00
2.000000000057511e-07	5.010478e+00
2.000001000090901e-07	5.010478e+00
2.000003000157680e-07	5.010478e+00
2.000004950680756e-07	5.010478e+00
2.000007111174762e-07	5.010478e+00
2.000010000113850e-07	5.010478e+00
2.000010346364656e-07	5.010478e+00
2.000011039005045e-07	5.010478e+00
2.000012424147046e-07	5.010478e+00
2.000015194431048e-07	5.010478e+00
2.000020734999053e-07	5.010478e+00
2.000027823773065e-07	5.010478e+00
2.000036588706289e-07	5.010478e+00
2.000047374245417e-07	5.010478e+00
2.000062575419070e-07	5.010478e+00
2.000081906483597e-07	5.010478e+00
2.000108203087381e-07	5.010478e+00
2.000143371344576e-07	5.010479e+00
2.000178272315578e-07	5.010479e+00
2.000218938674747e-07	5.010479e+00
2.000257967038621e-07	5.010479e+00
2.000292993881159e-07	5.010479e+00
2.000330983770171e-07	5.010480e+00
2.000367581439511e-07	5.010480e+00
2.000415730424310e-07	5.010480e+00
2.000468074525585e-07	5.010480e+00
2.000537722701701e-07	5.010481e+00
2.000619499231693e-07	5.010481e+00
2.000739455776390e-07	5.010482e+00
2.000913416760897e-07	5.010483e+00
2.001261338729909e-07	5.010484e+00
2.001758547393040e-07	5.010487e+00
2.002390030869661e-07	5.010490e+00
2.003575924752754e-07	5.010496e+00
2.005307079555596e-07	5.010505e+00
2.008293669836236e-07	5.010520e+00
2.011534371293422e-07	5.010536e+00
2.015068097382944e-07	5.010553e+00
2.019503596573102e-07	5.010576e+00
2.026575863789404e-07	5.010611e+00
2.037690207262743e-07	5.010666e+00
2.059918894348201e-07	5.010777e+00
2.095037201499395e-07	5.010953e+00
2.141248382353522e-07	5.011184e+00
2.202012577279255e-07	5.011487e+00
2.291462358194885e-07	5.011934e+00
2.456356025803963e-07	5.012756e+00
2.641403582664958e-07	5.013676e+00
3.011498696386949e-07	5.015507e+00
3.751688923969709e-07	5.019135e+00
4.559688923932992e-07	5.023040e+00
5.367688923896274e-07	5.026875e+00
6.175688923859557e-07	5.030627e+00
6.983688923822839e-07	5.034293e+00
7.791688923786122e-07	5.037868e+00
8.599688923749405e-07	5.041348e+00
9.407688923712687e-07	5.044731e+00
1.021568892367597e-06	5.048017e+00
1.102368892363925e-06	5.051203e+00
1.183168892360253e-06	5.054290e+00
1.263968892356582e-06	5.057278e+00
1.344768892352910e-06	5.060167e+00
1.425568892349238e-06	5.062957e+00
1.506368892345566e-06	5.065649e+00
1.587168892341895e-06	5.068243e+00
1.667968892338223e-06	5.070741e+00
1.748768892334551e-06	5.073143e+00
1.829568892330879e-06	5.075450e+00
1.910368892327208e-06	5.077662e+00
1.991168892323536e-06	5.079782e+00
2.071968892319864e-06	5.081810e+00
2.152768892316193e-06	5.083747e+00
2.233568892312521e-06	5.085595e+00
2.314368892308849e-06	5.087353e+00
2.395168892305177e-06	5.089024e+00
2.475968892301506e-06	5.090609e+00
2.556768892297834e-06	5.092107e+00
2.637568892294162e-06	5.093521e+00
2.718368892290490e-06	5.094852e+00
2.799168892286819e-06	5.096100e+00
2.879968892283147e-06	5.097267e+00
2.960768892279475e-06	5.098354e+00
3.041568892275803e-06	5.099361e+00
3.122368892272132e-06	5.100290e+00
3.203168892268460e-06	5.101142e+00
3.283968892264788e-06	5.101918e+00
3.364768892261116e-06	5.102618e+00
3.445568892257445e-06	5.103244e+00
3.526368892253773e-06	5.103796e+00
3.607168892250101e-06	5.104277e+00
3.687968892246429e-06	5.104685e+00
3.768768892242758e-06	5.105022e+00
3.849568892239086e-06	5.105290e+00
3.930368892235414e-06	5.105489e+00
4.011168892231742e-06	5.105620e+00
4.091968892228071e-06	5.105684e+00
4.172768892224399e-06	5.105682e+00
4.253568892220727e-06	5.105614e+00
4.334368892217055e-06	5.105482e+00
4.415168892213384e-06	5.105286e+00
4.495968892209712e-06	5.105026e+00
4.576768892206040e-06	5.104705e+00
4.657568892202368e-06	5.104322e+00
4.738368892198697e-06	5.103878e+00
4.819168892195025e-06	5.103375e+00
4.899968892191353e-06	5.102813e+00
4.980768892187681e-06	5.102192e+00
5.061568892184010e-06	5.101513e+00
5.142368892180338e-06	5.100778e+00
5.223168892176666e-06	5.099987e+00
5.303968892172994e-06	5.099140e+00
5.384768892169323e-06	5.098238e+00
5.465568892165651e-06	5.097282e+00
5.546368892161979e-06	5.096273e+00
5.627168892158307e-06	5.095212e+00
5.707968892154636e-06	5.094099e+00
5.788768892150964e-06	5.092935e+00
5.869568892147292e-06	5.091721e+00
5.950368892143620e-06	5.090456e+00
6.031168892139949e-06	5.089143e+00
6.111968892136277e-06	5.087781e+00
6.192768892132605e-06	5.086372e+00
6.273568892128933e-06	5.084917e+00
6.354368892125262e-06	5.083415e+00
6.435168892121590e-06	5.081868e+00
6.515968892117918e-06	5.080277e+00
6.596768892114246e-06	5.078643e+00
6.677568892110575e-06	5.076966e+00
6.758368892106903e-06	5.075247e+00
6.839168892103231e-06	5.073488e+00
6.919968892099559e-06	5.071690e+00
7.000768892095888e-06	5.069852e+00
7.081568892092216e-06	5.067978e+00
7.162368892088544e-06	5.066068e+00
7.243168892084872e-06	5.064124e+00
7.323968892081201e-06	5.062147e+00
7.404768892077529e-06	5.060139e+00
7.485568892073857e-06	5.058103e+00
7.566368892070185e-06	5.056039e+00
7.647168892066514e-06	5.053952e+00
