Vin[V]	Vout[V]	DVin[V]	DVout[V]
0.498000	0.005000	0.006486	0.003035
0.996000	0.388000	0.009972	0.005716
1.490000	0.850000	0.040430	0.035950
1.989000	1.323000	0.016923	0.012261
2.484000	1.796000	0.020388	0.015572
2.982000	2.274000	0.023874	0.018918
3.478000	2.750000	0.027346	0.049250
3.976000	3.230000	0.030832	0.052610
4.470000	3.708000	0.061290	0.028956
4.969000	4.190000	0.037783	0.059330
5.463000	4.669000	0.041241	0.035683
5.962000	4.948000	0.044734	0.037636
6.450000	4.949000	0.075150	0.037643
6.950000	4.949000	0.078650	0.037643
7.450000	4.951000	0.082150	0.037657
7.950000	4.952000	0.085650	0.037664
8.450000	4.953000	0.089150	0.037671
8.940000	4.953000	0.092580	0.037671
9.440000	4.954000	0.096080	0.037678
9.940000	4.954000	0.099580	0.037678
10.940000	4.956000	0.106580	0.037692
11.930000	4.958000	0.113510	0.037706
12.930000	4.959000	0.120510	0.037713
13.930000	4.960000	0.127510	0.037720
14.920000	4.962000	0.134440	0.037734
15.920000	4.964000	0.141440	0.037748
16.920000	4.966000	0.148440	0.037762
17.910000	4.968000	0.155370	0.037776
18.910000	4.970000	0.162370	0.037790
19.910000	4.972000	0.169370	0.037804
20.900000	4.974000	3.146300	0.037818
21.900000	4.976000	3.153300	0.037832
22.900000	4.978000	3.160300	0.037846
23.890000	4.979000	0.197230	0.037853
